,year,SovietUnion_care_vir,SovietUnion_care_vic,SovietUnion_fare_vir,SovietUnion_fare_vic,SovietUnion_loya_vir,SovietUnion_loya_vic,SovietUnion_auth_vir,SovietUnion_auth_vic,SovietUnion_sanc_vir,SovietUnion_sanc_vic,SovietUnion_care,SovietUnion_fare,SovietUnion_loya,SovietUnion_auth,SovietUnion_sanc,SovietUnion_virtue,SovietUnion_vice,SovietUnion_vir_vic_diff
1950,1950.0,0.25960344076156616,-0.04848535358905792,0.3121136426925659,-0.012440819293260574,0.2036479264497757,-0.00560784712433815,0.28538888692855835,0.0165651123970747,0.3125267028808594,0.05562116205692291,-0.04848535358905792,-0.012440819293260574,-0.00560784712433815,0.0165651123970747,0.05562116205692291,0.2746561199426651,0.001130450889468193,0.2735256690531969
1951,1951.0,0.2103307843208313,-0.07799344509840012,0.29886358976364136,0.125019833445549,0.07512111961841583,-0.02327459119260311,0.2940429151058197,0.047328874468803406,0.31620296835899353,-0.015683427453041077,-0.07799344509840012,0.125019833445549,-0.02327459119260311,0.047328874468803406,-0.015683427453041077,0.23891227543354035,0.011079448834061622,0.22783282659947873
1952,1952.0,0.21888422966003418,-0.1715903878211975,0.2455296516418457,0.10266976803541183,0.13119861483573914,-0.003536183387041092,0.2228359878063202,-0.09485233575105667,0.2946036756038666,-0.11825646460056305,-0.1715903878211975,0.10266976803541183,-0.003536183387041092,-0.09485233575105667,-0.11825646460056305,0.22261043190956115,-0.057113120704889296,0.2797235526144504
1953,1953.0,0.2599617838859558,-0.1876826286315918,0.3033662438392639,-0.03849992901086807,0.22088292241096497,-0.024389907717704773,0.2453698217868805,0.1223202645778656,0.30233967304229736,0.0016538240015506744,-0.1876826286315918,-0.03849992901086807,-0.024389907717704773,0.1223202645778656,0.0016538240015506744,0.26638408899307253,-0.025319675356149672,0.2917037643492222
1954,1954.0,0.2230309247970581,-0.15553945302963257,0.2619600296020508,0.11091343313455582,0.11670491099357605,-0.01201106607913971,0.18387313187122345,0.04961032420396805,0.2109549343585968,-0.02674514427781105,-0.15553945302963257,0.11091343313455582,-0.01201106607913971,0.04961032420396805,-0.02674514427781105,0.19930478632450105,-0.006754381209611892,0.20605916753411294
1955,1955.0,0.18220600485801697,-0.21221232414245605,0.26870936155319214,0.06398877501487732,0.22189822793006897,0.0034586042165756226,0.13880258798599243,0.12402579188346863,0.2783834636211395,-0.06844691932201385,-0.21221232414245605,0.06398877501487732,0.0034586042165756226,0.12402579188346863,-0.06844691932201385,0.217999929189682,-0.017837214469909667,0.23583714365959166
1956,1956.0,0.16706177592277527,-0.1904434859752655,0.2880004048347473,0.030138643458485603,0.1773124635219574,0.03937175124883652,0.12298507988452911,0.16453205049037933,0.2801460325717926,-0.06547944247722626,-0.1904434859752655,0.030138643458485603,0.03937175124883652,0.16453205049037933,-0.06547944247722626,0.20710115134716034,-0.004376096650958061,0.2114772479981184
1957,1957.0,0.1843128204345703,-0.14461694657802582,0.2737085819244385,-0.026263941079378128,0.25488588213920593,0.07994936406612396,0.09736877679824829,0.1724165827035904,0.2851611375808716,-0.07889344543218613,-0.14461694657802582,-0.026263941079378128,0.07994936406612396,0.1724165827035904,-0.07889344543218613,0.2190874397754669,0.0005183227360248566,0.21856911703944204
1958,1958.0,0.1725839227437973,-0.11261166632175446,0.23853230476379395,0.2092217653989792,0.2663153409957886,0.2316213697195053,0.25506383180618286,0.15053342282772064,0.2542678117752075,-0.052638813853263855,-0.11261166632175446,0.2092217653989792,0.2316213697195053,0.15053342282772064,-0.052638813853263855,0.23735264241695403,0.08522521555423737,0.15212742686271666
1959,1959.0,0.19906547665596008,-0.11886517703533173,0.3548308312892914,0.1524750292301178,0.257215678691864,0.059100594371557236,0.1806822568178177,0.09311963617801666,0.34975114464759827,0.007751621305942535,-0.11886517703533173,0.1524750292301178,0.059100594371557236,0.09311963617801666,0.007751621305942535,0.26830907762050626,0.0387163408100605,0.22959273681044576
1960,1960.0,0.17906397581100464,-0.006480321288108826,0.35535818338394165,0.20287618041038513,0.23796647787094116,0.16858354210853577,0.2575352191925049,0.28123363852500916,0.3352956175804138,0.1532423198223114,-0.006480321288108826,0.20287618041038513,0.16858354210853577,0.28123363852500916,0.1532423198223114,0.27304389476776125,0.15989107191562651,0.11315282285213474
1961,1961.0,0.18920625746250153,-0.08206801116466522,0.2986706495285034,0.13954555988311768,0.33823370933532715,0.128431499004364,0.18351563811302185,0.19865724444389343,0.3274041712284088,0.08184888958930969,-0.08206801116466522,0.13954555988311768,0.128431499004364,0.19865724444389343,0.08184888958930969,0.2674060851335526,0.09328303635120391,0.17412304878234866
1962,1962.0,0.10883934795856476,-0.14155705273151398,0.20865538716316223,0.03029315546154976,0.13783150911331177,0.07301786541938782,0.13820350170135498,0.1649884283542633,0.2067394256591797,-0.004560163244605064,-0.14155705273151398,0.03029315546154976,0.07301786541938782,0.1649884283542633,-0.004560163244605064,0.16005383431911469,0.02443644665181637,0.1356173876672983
1963,1963.0,0.08730795979499817,-0.10212323814630508,0.2457420527935028,0.08245809376239777,0.14602148532867432,0.29236268997192383,0.21316850185394287,0.12236540019512177,0.08414462953805923,-0.006127975881099701,-0.10212323814630508,0.08245809376239777,0.29236268997192383,0.12236540019512177,-0.006127975881099701,0.15527692586183547,0.07778699398040771,0.07748993188142776
