Year,GDP per capita,year,coll,indi,loose,tight,effort_care_vic,efficiency_care_vic,effort_care_vir,efficiency_care_vir,effort_loya_vic,efficiency_loya_vic,effort_loya_vir,efficiency_loya_vir,effort_auth_vic,efficiency_auth_vic,effort_auth_vir,efficiency_auth_vir,effort_sanc_vic,efficiency_sanc_vic,effort_sanc_vir,efficiency_sanc_vir,effort_fare_vic,efficiency_fare_vic,effort_fare_vir,efficiency_fare_vir,effort_care,effort_loya,effort_auth,effort_sanc,effort_fare,effort_virtue,effort_vice,effort_vir_vic_diff,efficiency_care,efficiency_loya,efficiency_auth,efficiency_sanc,efficiency_fare,efficiency_virtue,efficiency_vice,efficiency_vir_vic_diff
1873,5116.688,1873,0.0001593304713034,7.772256098245325e-05,8.431127812751666e-06,1.2198464701944952e-05,0.9581850171089172,0.975749373435974,0.9642004370689392,0.977947473526001,0.9119312167167664,0.9334927797317504,0.9601608514785768,0.973151445388794,0.9575434327125548,0.9646650552749634,0.9573732018470764,0.958425760269165,0.9263728260993958,0.9518234729766846,0.9404101371765136,0.9564509987831116,0.9450405836105348,0.9680772423744202,0.9612774848937988,0.9779354333877563,0.9642004370689392,0.9601608514785768,0.9573732018470764,0.9404101371765136,0.9612774848937988,0.9566844224929808,0.9398146152496338,0.016869807243347,0.977947473526001,0.973151445388794,0.958425760269165,0.9564509987831116,0.9779354333877563,0.9687822222709656,0.9587615847587584,0.010020637512207
1874,4964.9873,1874,0.0001586421207743,7.785033572003743e-05,8.346419105855524e-06,1.2165105582490856e-05,0.932011067867279,0.8870818614959717,0.947685718536377,0.8945753574371338,0.8896608948707581,0.833215594291687,0.9241376519203186,0.867622435092926,0.9064395427703856,0.8665047883987427,0.9011984467506408,0.8666666746139526,0.9201541543006896,0.8777518272399902,0.9327330589294434,0.8819410800933838,0.9207241535186768,0.8814427256584167,0.903215229511261,0.8698838949203491,0.947685718536377,0.9241376519203186,0.9011984467506408,0.9327330589294434,0.903215229511261,0.9217940211296082,0.913797962665558,0.0079960584640502,0.8945753574371338,0.867622435092926,0.8666666746139526,0.8819410800933838,0.8698838949203491,0.876137888431549,0.8691993594169617,0.0069385290145873
1875,5105.1177,1875,0.000154968714079,7.693044063574104e-05,8.2910036817723e-06,1.214150495424552e-05,0.9122241735458374,0.8961182832717896,0.9318255186080932,0.923677623271942,0.884088397026062,0.8734620213508606,0.9063745737075806,0.9023849368095398,0.8462201356887817,0.8594655394554138,0.8792610168457031,0.903666615486145,0.8931233286857605,0.8754180073738098,0.9148037433624268,0.894289493560791,0.9103557467460632,0.9103416204452516,0.8780418038368225,0.9141885042190552,0.9318255186080932,0.9063745737075806,0.8792610168457031,0.9148037433624268,0.8780418038368225,0.9020613312721252,0.889202356338501,0.0128589749336243,0.923677623271942,0.9023849368095398,0.903666615486145,0.894289493560791,0.9141885042190552,0.9076414346694948,0.882961094379425,0.0246803402900696
1876,5049.837,1876,0.0001533386358525,7.575392566343858e-05,8.211985223124151e-06,1.2110823568584854e-05,0.9211446046829224,0.8347965478897095,0.9490572214126588,0.8577219247817993,0.8902748823165894,0.7966915369033813,0.9150559902191162,0.8319005370140076,0.889114499092102,0.8164956569671631,0.8986807465553284,0.838334858417511,0.9133152961730956,0.8286899328231812,0.9336555004119872,0.8374629020690918,0.9184243679046632,0.8435844779014587,0.906461536884308,0.8501558303833008,0.9490572214126588,0.9150559902191162,0.8986807465553284,0.9336555004119872,0.906461536884308,0.9205821990966796,0.9064547300338746,0.0141274690628051,0.8577219247817993,0.8319005370140076,0.838334858417511,0.8374629020690918,0.8501558303833008,0.8431152105331421,0.8240516304969787,0.0190635800361633
1877,5098.6895,1877,0.0001492740479989,7.500380539277835e-05,8.166972586154001e-06,1.2032067707882072e-05,0.9364470839500428,0.8984844088554382,0.9482181072235109,0.9155219793319702,0.918688714504242,0.8795514702796936,0.9192001819610596,0.9005657434463501,0.8970618844032288,0.8700687885284424,0.90346497297287,0.8811177015304565,0.9177452325820924,0.863727867603302,0.9304823875427246,0.8802324533462524,0.9216994047164916,0.8877425193786621,0.9044265151023864,0.8925729393959045,0.9482181072235109,0.9192001819610596,0.90346497297287,0.9304823875427246,0.9044265151023864,0.9211584329605104,0.9183284640312196,0.0028299689292907,0.9155219793319702,0.9005657434463501,0.8811177015304565,0.8802324533462524,0.8925729393959045,0.8940021634101868,0.8799150109291076,0.0140871524810791
1878,5198.9663,1878,0.0001476734255122,7.431852915778287e-05,8.041768009859976e-06,1.1983731825588556e-05,0.893539309501648,0.849250316619873,0.9100591540336608,0.8692039251327515,0.8492611050605774,0.7784184813499451,0.8741855621337891,0.8345054388046265,0.8548159003257751,0.817808985710144,0.836819052696228,0.8387430906295776,0.870410144329071,0.8451331853866577,0.891239583492279,0.839392364025116,0.862260103225708,0.8404630422592163,0.8402957916259766,0.849054217338562,0.9100591540336608,0.8741855621337891,0.836819052696228,0.891239583492279,0.8402957916259766,0.8705198287963867,0.8660573124885559,0.0044625163078307,0.8692039251327515,0.8345054388046265,0.8387430906295776,0.839392364025116,0.849054217338562,0.8461798071861267,0.8262148022651672,0.0199650049209595
1879,5715.778,1879,0.000144847433879,7.418306134811457e-05,8.0425618706926e-06,1.1955079158200633e-05,0.90925794839859,0.8447787165641785,0.927782952785492,0.8610246181488037,0.8548145294189453,0.772545337677002,0.901553988456726,0.8298070430755615,0.8771657943725586,0.8228977918624878,0.8815401792526245,0.8307539224624634,0.9029273986816406,0.8486968278884888,0.9153972864151,0.8320595026016235,0.907763123512268,0.847122311592102,0.8987675905227661,0.8590296506881714,0.927782952785492,0.901553988456726,0.8815401792526245,0.9153972864151,0.8987675905227661,0.9050083994865418,0.8903857588768005,0.0146226406097412,0.8610246181488037,0.8298070430755615,0.8307539224624634,0.8320595026016235,0.8590296506881714,0.8425349473953248,0.8272081971168518,0.0153267502784729
1880,6255.7295,1880,0.0001423917623567,7.40063950652419e-05,7.950972830289951e-06,1.1902006113168843e-05,0.8855614066123962,0.8426458835601807,0.9094059467315674,0.857522189617157,0.8346361517906189,0.793603777885437,0.8856952786445618,0.8351296186447144,0.8384354114532471,0.807864785194397,0.8468829393386841,0.8422854542732239,0.8732315897941589,0.8200975656509399,0.9032716751098632,0.8381980657577515,0.8642551898956299,0.8264822959899902,0.8428840637207031,0.8469678163528442,0.9094059467315674,0.8856952786445618,0.8468829393386841,0.9032716751098632,0.8428840637207031,0.8776279807090759,0.8592239499092102,0.0184040307998656,0.857522189617157,0.8351296186447144,0.8422854542732239,0.8381980657577515,0.8469678163528442,0.8440206289291382,0.818138861656189,0.0258817672729492
1881,6317.4385,1881,0.0001404963121396,7.383345738633449e-05,7.929559791271048e-06,1.192066920491389e-05,0.9175201058387756,0.8490413427352905,0.9348207712173462,0.884569525718689,0.8959487676620483,0.8221657276153564,0.9009337425231934,0.8430874347686768,0.9006251692771912,0.8494888544082642,0.8817855715751648,0.8618688583374023,0.8978723883628845,0.8241642713546753,0.9254775643348694,0.8479217290878296,0.9051952362060548,0.8549267649650574,0.8775131106376648,0.88163822889328,0.9348207712173462,0.9009337425231934,0.8817855715751648,0.9254775643348694,0.8775131106376648,0.9041061520576475,0.9034323334693908,0.0006738185882567,0.884569525718689,0.8430874347686768,0.8618688583374023,0.8479217290878296,0.88163822889328,0.8638171553611755,0.8399573922157287,0.0238597631454468
1882,6557.8457,1882,0.0001402555659361,7.433343287540797e-05,7.877886523252604e-06,1.1946291827972088e-05,0.8930260539054871,0.8073015213012695,0.9128075242042542,0.8187294006347656,0.8399460315704346,0.7590785026550293,0.8788982629776001,0.7912576198577881,0.8480654954910278,0.786402702331543,0.845535397529602,0.8032439947128296,0.8907579779624939,0.8033987283706665,0.909640610218048,0.8077763319015503,0.8794102072715759,0.815805196762085,0.8468329906463623,0.8291267156600952,0.9128075242042542,0.8788982629776001,0.845535397529602,0.909640610218048,0.8468329906463623,0.8787429571151734,0.8702411532402039,0.0085018038749694,0.8187294006347656,0.7912576198577881,0.8032439947128296,0.8077763319015503,0.8291267156600952,0.8100268125534058,0.7943973302841186,0.0156294822692871
1883,6559.1313,1883,0.0001392481809716,7.511662673108179e-05,7.871509325515663e-06,1.2046286457742133e-05,0.8976080417633057,0.8545929193496704,0.9162854552268982,0.8710664510726929,0.8283790349960327,0.7855921983718872,0.8734850287437439,0.8455995321273804,0.869644045829773,0.8278405070304871,0.853725790977478,0.8439316749572754,0.887271523475647,0.81334388256073,0.9021106362342834,0.8373085260391235,0.8880954384803772,0.8683834671974182,0.8535704612731934,0.8759818077087402,0.9162854552268982,0.8734850287437439,0.853725790977478,0.9021106362342834,0.8535704612731934,0.8798354744911194,0.8741996169090271,0.0056358575820922,0.8710664510726929,0.8455995321273804,0.8439316749572754,0.8373085260391235,0.8759818077087402,0.8547775983810425,0.8299505949020386,0.0248270034790039
1884,6523.1343,1884,0.0001399870309504,7.560425612496147e-05,7.830768602449087e-06,1.2159693498858817e-05,0.8913726806640625,0.7779320478439331,0.9062179327011108,0.7806868553161621,0.8129452466964722,0.6621536016464233,0.8932696580886841,0.7627815008163452,0.8725389242172241,0.743290901184082,0.8733426928520203,0.7834161520004272,0.8814389705657959,0.7672610282897949,0.9023359417915344,0.7569104433059692,0.8909508585929871,0.7805643677711487,0.8619140386581421,0.789189875125885,0.9062179327011108,0.8932696580886841,0.8733426928520203,0.9023359417915344,0.8619140386581421,0.8874160528182984,0.8698493361473083,0.01756671667099,0.7806868553161621,0.7627815008163452,0.7834161520004272,0.7569104433059692,0.789189875125885,0.7745969653129577,0.7462403893470764,0.0283565759658813
