year,effort_care_vic_x,efficiency_care_vic_x,effort_care_vir_x,efficiency_care_vir_x,effort_loya_vic_x,efficiency_loya_vic_x,effort_loya_vir_x,efficiency_loya_vir_x,effort_auth_vic_x,efficiency_auth_vic_x,effort_auth_vir_x,efficiency_auth_vir_x,effort_sanc_vic_x,efficiency_sanc_vic_x,effort_sanc_vir_x,efficiency_sanc_vir_x,effort_fare_vic_x,efficiency_fare_vic_x,effort_fare_vir_x,efficiency_fare_vir_x,effort_care_x,effort_loya_x,effort_auth_x,effort_sanc_x,effort_fare_x,effort_virtue_x,effort_vice_x,effort_vir_vic_diff_x,efficiency_care_x,efficiency_loya_x,efficiency_auth_x,efficiency_sanc_x,efficiency_fare_x,efficiency_virtue_x,efficiency_vice_x,efficiency_vir_vic_diff_x,effort_care_vic_y,efficiency_care_vic_y,effort_care_vir_y,efficiency_care_vir_y,effort_loya_vic_y,efficiency_loya_vic_y,effort_loya_vir_y,efficiency_loya_vir_y,effort_auth_vic_y,efficiency_auth_vic_y,effort_auth_vir_y,efficiency_auth_vir_y,effort_sanc_vic_y,efficiency_sanc_vic_y,effort_sanc_vir_y,efficiency_sanc_vir_y,effort_fare_vic_y,efficiency_fare_vic_y,effort_fare_vir_y,efficiency_fare_vir_y,effort_care_y,effort_loya_y,effort_auth_y,effort_sanc_y,effort_fare_y,effort_virtue_y,effort_vice_y,effort_vir_vic_diff_y,efficiency_care_y,efficiency_loya_y,efficiency_auth_y,efficiency_sanc_y,efficiency_fare_y,efficiency_virtue_y,efficiency_vice_y,efficiency_vir_vic_diff_y,effort_care_vic,efficiency_care_vic,effort_care_vir,efficiency_care_vir,effort_loya_vic,efficiency_loya_vic,effort_loya_vir,efficiency_loya_vir,effort_auth_vic,efficiency_auth_vic,effort_auth_vir,efficiency_auth_vir,effort_sanc_vic,efficiency_sanc_vic,effort_sanc_vir,efficiency_sanc_vir,effort_fare_vic,efficiency_fare_vic,effort_fare_vir,efficiency_fare_vir,effort_care,effort_loya,effort_auth,effort_sanc,effort_fare,effort_virtue,effort_vice,effort_vir_vic_diff,efficiency_care,efficiency_loya,efficiency_auth,efficiency_sanc,efficiency_fare,efficiency_virtue,efficiency_vice,efficiency_vir_vic_diff,Year_x,GDP per capita,Year_y,indi,coll,tight,loose
1873,0.9581850171089172,0.975749373435974,0.9642004370689392,0.977947473526001,0.9119312167167664,0.9334927797317504,0.9601608514785768,0.973151445388794,0.9575434327125548,0.9646650552749634,0.9573732018470764,0.958425760269165,0.9263728260993958,0.9518234729766846,0.9404101371765136,0.9564509987831116,0.9450405836105348,0.9680772423744202,0.9612774848937988,0.9779354333877563,0.9642004370689392,0.9601608514785768,0.9573732018470764,0.9404101371765136,0.9612774848937988,0.9566844224929808,0.9398146152496338,0.016869807243347,0.977947473526001,0.973151445388794,0.958425760269165,0.9564509987831116,0.9779354333877563,0.9687822222709656,0.9587615847587584,0.010020637512207,0.995855152606964,,0.993843913078308,,0.9682329893112184,,0.8903965353965759,,0.9963766932487488,,0.995065689086914,,0.9955172538757324,,0.9467926025390624,,0.9967197179794312,,0.976286232471466,,0.993843913078308,0.8903965353965759,0.995065689086914,0.9467926025390624,0.976286232471466,0.9604769945144652,0.9905403614044188,-0.0300633668899535,,,,,,,,,0.9820328950881958,0.9785167574882508,0.9815860986709596,0.9756814241409302,0.9618542194366456,0.9515200853347778,0.8750603199005127,0.8679463267326355,0.966944932937622,0.952911376953125,0.9666928052902222,0.9224752187728882,0.9462404251098632,0.9427883625030518,0.9603686928749084,0.9433818459510804,0.9679138660430908,0.9726279973983764,0.9416688084602356,0.9360301494598388,0.9815860986709596,0.8750603199005127,0.9666928052902222,0.9603686928749084,0.9416688084602356,0.9450753450393676,0.9649972677230836,-0.0199219226837158,0.9756814241409302,0.8679463267326355,0.9224752187728882,0.9433818459510804,0.9360301494598388,0.9291029930114746,0.9596729159355164,-0.0305699229240418,1873,5116.688,1873,0.3100337512496983,0.2525288380666656,0.0575884352065374,0.0362903192128216
1874,0.932011067867279,0.8870818614959717,0.947685718536377,0.8945753574371338,0.8896608948707581,0.833215594291687,0.9241376519203186,0.867622435092926,0.9064395427703856,0.8665047883987427,0.9011984467506408,0.8666666746139526,0.9201541543006896,0.8777518272399902,0.9327330589294434,0.8819410800933838,0.9207241535186768,0.8814427256584167,0.903215229511261,0.8698838949203491,0.947685718536377,0.9241376519203186,0.9011984467506408,0.9327330589294434,0.903215229511261,0.9217940211296082,0.913797962665558,0.0079960584640502,0.8945753574371338,0.867622435092926,0.8666666746139526,0.8819410800933838,0.8698838949203491,0.876137888431549,0.8691993594169617,0.0069385290145873,0.7914249300956726,0.932141900062561,0.8637888431549072,0.8596340417861938,0.6929653882980347,0.8857009410858154,0.7449773550033569,0.7231849431991577,0.7402840852737427,0.88128662109375,0.7340482473373413,0.807722806930542,0.7196881175041199,0.9257776737213136,0.7645201683044434,0.915273904800415,0.7674006819725037,0.9376622438430786,0.687361478805542,0.7103081941604614,0.8637888431549072,0.7449773550033569,0.7340482473373413,0.7645201683044434,0.687361478805542,0.7589392185211181,0.7423526406288147,0.0165865778923034,0.8596340417861938,0.7231849431991577,0.807722806930542,0.915273904800415,0.7103081941604614,0.803224778175354,0.9125138759613036,-0.1092890977859497,0.5228890776634216,0.6893272995948792,0.6116371154785156,0.6398662328720093,0.3519767522811889,0.474263846874237,0.5051715970039368,0.4905548095703125,0.4299219250679016,0.5201400518417358,0.355380654335022,0.4388687014579773,0.4544185698032379,0.6069355010986328,0.553453803062439,0.6489418745040894,0.4925947487354278,0.6504203677177429,0.4492449164390564,0.4562621712684631,0.6116371154785156,0.5051715970039368,0.355380654335022,0.553453803062439,0.4492449164390564,0.4949776172637939,0.4503602147102356,0.0446174025535583,0.6398662328720093,0.4905548095703125,0.4388687014579773,0.6489418745040894,0.4562621712684631,0.5348987579345703,0.5882174134254455,-0.0533186554908752,1874,4964.9873,1874,0.298483042846688,0.2192192125796231,0.0571539752413843,0.0422298230990499
1875,0.9122241735458374,0.8961182832717896,0.9318255186080932,0.923677623271942,0.884088397026062,0.8734620213508606,0.9063745737075806,0.9023849368095398,0.8462201356887817,0.8594655394554138,0.8792610168457031,0.903666615486145,0.8931233286857605,0.8754180073738098,0.9148037433624268,0.894289493560791,0.9103557467460632,0.9103416204452516,0.8780418038368225,0.9141885042190552,0.9318255186080932,0.9063745737075806,0.8792610168457031,0.9148037433624268,0.8780418038368225,0.9020613312721252,0.889202356338501,0.0128589749336243,0.923677623271942,0.9023849368095398,0.903666615486145,0.894289493560791,0.9141885042190552,0.9076414346694948,0.882961094379425,0.0246803402900696,0.9308002591133118,0.941720724105835,0.9316970109939576,0.9096352458000184,0.8699009418487549,0.8609200119972229,0.843002438545227,0.7179402112960815,0.9027405381202698,0.9290310144424438,0.8834372758865356,0.8544894456863403,0.9171963334083556,0.9641677141189576,0.9168151021003724,0.885087251663208,0.9037835597991944,0.956865668296814,0.7749782204627991,0.7553043365478516,0.9316970109939576,0.843002438545227,0.8834372758865356,0.9168151021003724,0.7749782204627991,0.8699860095977783,0.9048843264579772,-0.034898316860199,0.9096352458000184,0.7179402112960815,0.8544894456863403,0.885087251663208,0.7553043365478516,0.8244912981986999,0.9305410265922548,-0.1060497283935547,0.770307183265686,0.894099235534668,0.8300501704216003,0.8359405994415283,0.6860677003860474,0.7925966382026672,0.7071360945701599,0.6766588687896729,0.7021927237510681,0.8651013374328613,0.6740776896476746,0.7661811113357544,0.7156662940979004,0.93275648355484,0.7868805527687073,0.8911870718002319,0.76033616065979,0.9229862093925476,0.7000881433486938,0.6843137741088867,0.8300501704216003,0.7071360945701599,0.6740776896476746,0.7868805527687073,0.7000881433486938,0.7396465301513672,0.7269140124320984,0.0127325177192687,0.8359405994415283,0.6766588687896729,0.7661811113357544,0.8911870718002319,0.6843137741088867,0.7708562850952149,0.8815079808235169,-0.110651695728302,1875,5105.1177,1875,0.3761107187473687,0.2374803030537355,0.0543867698382831,0.0436468863789065
1876,0.9211446046829224,0.8347965478897095,0.9490572214126588,0.8577219247817993,0.8902748823165894,0.7966915369033813,0.9150559902191162,0.8319005370140076,0.889114499092102,0.8164956569671631,0.8986807465553284,0.838334858417511,0.9133152961730956,0.8286899328231812,0.9336555004119872,0.8374629020690918,0.9184243679046632,0.8435844779014587,0.906461536884308,0.8501558303833008,0.9490572214126588,0.9150559902191162,0.8986807465553284,0.9336555004119872,0.906461536884308,0.9205821990966796,0.9064547300338746,0.0141274690628051,0.8577219247817993,0.8319005370140076,0.838334858417511,0.8374629020690918,0.8501558303833008,0.8431152105331421,0.8240516304969787,0.0190635800361633,0.5741077661514282,0.6969977021217346,0.6353760957717896,0.6368381977081299,0.516693115234375,0.6557088494300842,0.5289011597633362,0.5639328956604004,0.3965519070625305,0.5095258355140686,0.4275915324687958,0.5064010620117188,0.4641918540000915,0.6846979856491089,0.555401623249054,0.6761573553085327,0.5193668007850647,0.6730386018753052,0.4842117130756378,0.6027207374572754,0.6353760957717896,0.5289011597633362,0.4275915324687958,0.555401623249054,0.4842117130756378,0.5262964248657227,0.494182288646698,0.0321141362190247,0.6368381977081299,0.5639328956604004,0.5064010620117188,0.6761573553085327,0.6027207374572754,0.5972100496292114,0.6439937949180603,-0.0467837452888488,0.6503185033798218,0.7149132490158081,0.7059811353683472,0.6337082982063293,0.522593080997467,0.5003942847251892,0.5986292362213135,0.5081796646118164,0.5043841600418091,0.5558477640151978,0.4432174563407898,0.505623996257782,0.5384604930877686,0.6788874268531799,0.6334323883056641,0.6802542209625244,0.5613135099411011,0.687732458114624,0.5371993780136108,0.5671648383140564,0.7059811353683472,0.5986292362213135,0.4432174563407898,0.6334323883056641,0.5371993780136108,0.5836919188499451,0.5554139494895936,0.0282779693603515,0.6337082982063293,0.5081796646118164,0.505623996257782,0.6802542209625244,0.5671648383140564,0.5789862036705017,0.6275550365447998,-0.0485688328742981,1876,5049.837,1876,0.2465244738965445,0.2383879796858861,0.0638488781808607,0.0465023245511932
1877,0.9364470839500428,0.8984844088554382,0.9482181072235109,0.9155219793319702,0.918688714504242,0.8795514702796936,0.9192001819610596,0.9005657434463501,0.8970618844032288,0.8700687885284424,0.90346497297287,0.8811177015304565,0.9177452325820924,0.863727867603302,0.9304823875427246,0.8802324533462524,0.9216994047164916,0.8877425193786621,0.9044265151023864,0.8925729393959045,0.9482181072235109,0.9192001819610596,0.90346497297287,0.9304823875427246,0.9044265151023864,0.9211584329605104,0.9183284640312196,0.0028299689292907,0.9155219793319702,0.9005657434463501,0.8811177015304565,0.8802324533462524,0.8925729393959045,0.8940021634101868,0.8799150109291076,0.0140871524810791,0.7241972088813782,0.9481404423713684,0.7799245119094849,0.891150951385498,0.6298204660415649,0.8921865820884705,0.6234956979751587,0.7191795110702515,0.5977675318717957,0.8751121759414673,0.5797703266143799,0.7746569514274597,0.6406204700469971,0.93736070394516,0.7221903800964355,0.9030096530914308,0.6803483963012695,0.8860517740249634,0.6286659240722656,0.7061912417411804,0.7799245119094849,0.6234956979751587,0.5797703266143799,0.7221903800964355,0.6286659240722656,0.666809368133545,0.6545508146286011,0.0122585535049438,0.891150951385498,0.7191795110702515,0.7746569514274597,0.9030096530914308,0.7061912417411804,0.7988376617431641,0.907770335674286,-0.1089326739311218,0.7205323576927185,0.9471797943115234,0.8303144574165344,0.8947957754135132,0.7168219089508057,0.9105157852172852,0.6815730929374695,0.7373454570770264,0.6532232165336609,0.8834450244903564,0.6188303232192993,0.7556750774383545,0.658997118473053,0.9434821009635924,0.7669752240180969,0.9217779636383056,0.6841256618499756,0.9106095433235168,0.6586861610412598,0.6845980882644653,0.8303144574165344,0.6815730929374695,0.6188303232192993,0.7669752240180969,0.6586861610412598,0.711275851726532,0.6867400527000427,0.0245357990264892,0.8947957754135132,0.7373454570770264,0.7556750774383545,0.9217779636383056,0.6845980882644653,0.798838472366333,0.9190464496612548,-0.1202079772949219,1877,5098.6895,1877,0.3049368925201782,0.2430105587752446,0.0639383806897147,0.0455318771578272
1878,0.893539309501648,0.849250316619873,0.9100591540336608,0.8692039251327515,0.8492611050605774,0.7784184813499451,0.8741855621337891,0.8345054388046265,0.8548159003257751,0.817808985710144,0.836819052696228,0.8387430906295776,0.870410144329071,0.8451331853866577,0.891239583492279,0.839392364025116,0.862260103225708,0.8404630422592163,0.8402957916259766,0.849054217338562,0.9100591540336608,0.8741855621337891,0.836819052696228,0.891239583492279,0.8402957916259766,0.8705198287963867,0.8660573124885559,0.0044625163078307,0.8692039251327515,0.8345054388046265,0.8387430906295776,0.839392364025116,0.849054217338562,0.8461798071861267,0.8262148022651672,0.0199650049209595,0.5668994784355164,0.7881957292556763,0.6686258316040039,0.7630131244659424,0.4250591397285461,0.623685359954834,0.4976240992546081,0.5910722017288208,0.4581422209739685,0.6189960241317749,0.403245210647583,0.5962926149368286,0.4231071770191192,0.7180073261260986,0.5262189507484436,0.7331617474555969,0.5230904221534729,0.7572664618492126,0.5153120756149292,0.6152319312095642,0.6686258316040039,0.4976240992546081,0.403245210647583,0.5262189507484436,0.5153120756149292,0.5222052335739136,0.4792596876621246,0.0429455459117889,0.7630131244659424,0.5910722017288208,0.5962926149368286,0.7331617474555969,0.6152319312095642,0.6597543239593506,0.7012301802635192,-0.0414758563041686,0.6107271909713745,0.7611175775527954,0.6481937170028687,0.7107895612716675,0.5054464936256409,0.5827596187591553,0.5272411108016968,0.562548041343689,0.4893171489238739,0.5961017608642578,0.3902780413627624,0.5518581867218018,0.4792693555355072,0.6840178370475769,0.5335395336151123,0.7005566358566284,0.602999210357666,0.7263373136520386,0.5147963762283325,0.6142759323120117,0.6481937170028687,0.5272411108016968,0.3902780413627624,0.5335395336151123,0.5147963762283325,0.5228097558021545,0.5375518798828125,-0.014742124080658,0.7107895612716675,0.562548041343689,0.5518581867218018,0.7005566358566284,0.6142759323120117,0.6280056715011597,0.6700668215751648,-0.0420611500740051,1878,5198.9663,1878,0.2431589194767801,0.2595285123617528,0.0837993066230722,0.055830068448748
1879,0.90925794839859,0.8447787165641785,0.927782952785492,0.8610246181488037,0.8548145294189453,0.772545337677002,0.901553988456726,0.8298070430755615,0.8771657943725586,0.8228977918624878,0.8815401792526245,0.8307539224624634,0.9029273986816406,0.8486968278884888,0.9153972864151,0.8320595026016235,0.907763123512268,0.847122311592102,0.8987675905227661,0.8590296506881714,0.927782952785492,0.901553988456726,0.8815401792526245,0.9153972864151,0.8987675905227661,0.9050083994865418,0.8903857588768005,0.0146226406097412,0.8610246181488037,0.8298070430755615,0.8307539224624634,0.8320595026016235,0.8590296506881714,0.8425349473953248,0.8272081971168518,0.0153267502784729,0.5523432493209839,0.7910810708999634,0.5842704772949219,0.6769619584083557,0.4313615560531616,0.648525595664978,0.4997476935386657,0.5554913282394409,0.3836394548416137,0.6468650102615356,0.4127026796340942,0.5550752282142639,0.4560343623161316,0.7209492921829224,0.5295901894569397,0.7059932351112366,0.4957748353481293,0.7828891277313232,0.4700733125209808,0.5714341998100281,0.5842704772949219,0.4997476935386657,0.4127026796340942,0.5295901894569397,0.4700733125209808,0.4992768704891205,0.463830691576004,0.0354461789131164,0.6769619584083557,0.5554913282394409,0.5550752282142639,0.7059932351112366,0.5714341998100281,0.612991189956665,0.7180620193481445,-0.1050708293914794,0.5916352272033691,0.8502172231674194,0.5915735960006714,0.7493456602096558,0.477724552154541,0.6708897352218628,0.4949846267700195,0.6120045185089111,0.4681485891342163,0.7285188436508179,0.4061034619808197,0.6153339147567749,0.5136550664901733,0.8397489786148071,0.5761028528213501,0.8272076845169067,0.5661746859550476,0.8558716773986816,0.488503634929657,0.6109943389892578,0.5915735960006714,0.4949846267700195,0.4061034619808197,0.5761028528213501,0.488503634929657,0.5114536345005035,0.5234676241874695,-0.0120139896869659,0.7493456602096558,0.6120045185089111,0.6153339147567749,0.8272076845169067,0.6109943389892578,0.6829772233963013,0.7890492916107178,-0.1060720682144165,1879,5715.778,1879,0.2978222168681149,0.2677722898178264,0.0713434793666091,0.0570881687614611
1880,0.8855614066123962,0.8426458835601807,0.9094059467315674,0.857522189617157,0.8346361517906189,0.793603777885437,0.8856952786445618,0.8351296186447144,0.8384354114532471,0.807864785194397,0.8468829393386841,0.8422854542732239,0.8732315897941589,0.8200975656509399,0.9032716751098632,0.8381980657577515,0.8642551898956299,0.8264822959899902,0.8428840637207031,0.8469678163528442,0.9094059467315674,0.8856952786445618,0.8468829393386841,0.9032716751098632,0.8428840637207031,0.8776279807090759,0.8592239499092102,0.0184040307998656,0.857522189617157,0.8351296186447144,0.8422854542732239,0.8381980657577515,0.8469678163528442,0.8440206289291382,0.818138861656189,0.0258817672729492,0.5690944194793701,0.7769664525985718,0.5877585411071777,0.721376895904541,0.4939473271369934,0.7086443901062012,0.4859119653701782,0.5992357134819031,0.3739044070243835,0.5474601984024048,0.3941248059272766,0.5686663389205933,0.508758544921875,0.7412258386611938,0.5432028770446777,0.7431526184082031,0.5280400514602661,0.7287052273750305,0.4332526624202728,0.551450788974762,0.5877585411071777,0.4859119653701782,0.3941248059272766,0.5432028770446777,0.4332526624202728,0.4888501703739166,0.4947489500045776,-0.0058987796306609,0.721376895904541,0.5992357134819031,0.5686663389205933,0.7431526184082031,0.551450788974762,0.6367764711380005,0.7006004214286804,-0.0638239502906798,0.6482623815536499,0.7750590443611145,0.7331792116165161,0.7080298066139221,0.5540363788604736,0.6727042198181152,0.6103205680847168,0.5967360138893127,0.5369091629981995,0.6505593657493591,0.5095196962356567,0.5722191333770752,0.5237690806388855,0.7730695605278015,0.6358599662780762,0.8050317764282227,0.6019037961959839,0.78924560546875,0.5656800270080566,0.6076745390892029,0.7331792116165161,0.6103205680847168,0.5095196962356567,0.6358599662780762,0.5656800270080566,0.6109118938446045,0.5729761600494385,0.037935733795166,0.7080298066139221,0.5967360138893127,0.5722191333770752,0.8050317764282227,0.6076745390892029,0.6579382538795471,0.732127559185028,-0.0741893053054809,1880,6255.7295,1880,0.2977220950489959,0.2422581589145696,0.0613713376161994,0.0480796842822097
1881,0.9175201058387756,0.8490413427352905,0.9348207712173462,0.884569525718689,0.8959487676620483,0.8221657276153564,0.9009337425231934,0.8430874347686768,0.9006251692771912,0.8494888544082642,0.8817855715751648,0.8618688583374023,0.8978723883628845,0.8241642713546753,0.9254775643348694,0.8479217290878296,0.9051952362060548,0.8549267649650574,0.8775131106376648,0.88163822889328,0.9348207712173462,0.9009337425231934,0.8817855715751648,0.9254775643348694,0.8775131106376648,0.9041061520576475,0.9034323334693908,0.0006738185882567,0.884569525718689,0.8430874347686768,0.8618688583374023,0.8479217290878296,0.88163822889328,0.8638171553611755,0.8399573922157287,0.0238597631454468,0.6539124250411987,0.8294632434844971,0.7424510717391968,0.7881361246109009,0.5498335957527161,0.7687979936599731,0.6022031307220459,0.6492941379547119,0.5373772382736206,0.6807945966720581,0.5631738901138306,0.6685322523117065,0.5787298083305359,0.8380199074745178,0.632414698600769,0.811846137046814,0.6564255952835083,0.8559611439704895,0.6264726519584656,0.7014161944389343,0.7424510717391968,0.6022031307220459,0.5631738901138306,0.632414698600769,0.6264726519584656,0.6333430886268616,0.5952557325363159,0.0380873560905457,0.7881361246109009,0.6492941379547119,0.6685322523117065,0.811846137046814,0.7014161944389343,0.7238449692726135,0.7946073770523071,-0.0707624077796935,0.8189818859100342,0.9120720028877258,0.8410883545875549,0.8535162210464478,0.7638012170791626,0.7397036552429199,0.6820582747459412,0.6606912612915039,0.8043723106384277,0.8446029424667358,0.7193650007247925,0.7359892129898071,0.7793803811073303,0.917871594429016,0.7939608097076416,0.8735542297363281,0.796821117401123,0.9136184453964232,0.7223788499832153,0.7619975805282593,0.8410883545875549,0.6820582747459412,0.7193650007247925,0.7939608097076416,0.7223788499832153,0.7517702579498291,0.7926713824272156,-0.0409011244773864,0.8535162210464478,0.6606912612915039,0.7359892129898071,0.8735542297363281,0.7619975805282593,0.7771497011184693,0.8655737280845642,-0.0884240269660949,1881,6317.4385,1881,0.3427695881575208,0.2682186443260965,0.0724915254935396,0.0511559515130546
1882,0.8930260539054871,0.8073015213012695,0.9128075242042542,0.8187294006347656,0.8399460315704346,0.7590785026550293,0.8788982629776001,0.7912576198577881,0.8480654954910278,0.786402702331543,0.845535397529602,0.8032439947128296,0.8907579779624939,0.8033987283706665,0.909640610218048,0.8077763319015503,0.8794102072715759,0.815805196762085,0.8468329906463623,0.8291267156600952,0.9128075242042542,0.8788982629776001,0.845535397529602,0.909640610218048,0.8468329906463623,0.8787429571151734,0.8702411532402039,0.0085018038749694,0.8187294006347656,0.7912576198577881,0.8032439947128296,0.8077763319015503,0.8291267156600952,0.8100268125534058,0.7943973302841186,0.0156294822692871,0.4807758927345276,0.6827132105827332,0.6138718724250793,0.6246391534805298,0.3636729419231415,0.5261338949203491,0.4724793136119842,0.4948733448982239,0.3282373249530792,0.4332456588745117,0.2985042929649353,0.4528688192367553,0.3816546201705932,0.6031737923622131,0.4835551083087921,0.6572801470756531,0.4580975770950317,0.651921808719635,0.415883719921112,0.508621096611023,0.6138718724250793,0.4724793136119842,0.2985042929649353,0.4835551083087921,0.415883719921112,0.4568588614463806,0.4024876713752746,0.0543711900711059,0.6246391534805298,0.4948733448982239,0.4528688192367553,0.6572801470756531,0.508621096611023,0.547656512260437,0.5794376730918884,-0.0317811608314514,0.5204904675483704,0.6387497186660767,0.648613452911377,0.6118161678314209,0.3733674883842468,0.4116929173469543,0.558174729347229,0.493615984916687,0.3819277584552765,0.4279236197471618,0.416857361793518,0.4607481360435486,0.454323947429657,0.6151371598243713,0.5770816206932068,0.6381820440292358,0.4660843014717102,0.6177564859390259,0.5464547276496887,0.5152428150177002,0.648613452911377,0.558174729347229,0.416857361793518,0.5770816206932068,0.5464547276496887,0.549436378479004,0.4392387926578521,0.1101975858211518,0.6118161678314209,0.493615984916687,0.4607481360435486,0.6381820440292358,0.5152428150177002,0.5439210295677185,0.542251980304718,0.0016690492630004,1882,6557.8457,1882,0.2861350725857353,0.2304279151266599,0.0575284737683348,0.0504316205632891
