Year,GDP per capita,year,coll,indi,loose,tight,effort_care_vir,efficiency_care_vir,effort_care_vic,efficiency_care_vic,effort_fare_vir,efficiency_fare_vir,effort_fare_vic,efficiency_fare_vic,effort_loya_vir,efficiency_loya_vir,effort_loya_vic,efficiency_loya_vic,effort_auth_vir,efficiency_auth_vir,effort_auth_vic,efficiency_auth_vic,effort_sanc_vir,efficiency_sanc_vir,effort_sanc_vic,efficiency_sanc_vic,effort_care,effort_fare,effort_loya,effort_auth,effort_sanc,effort_virtue,effort_vice,effort_vir_vic_diff,efficiency_care,efficiency_fare,efficiency_loya,efficiency_auth,efficiency_sanc,efficiency_virtue,efficiency_vice,efficiency_vir_vic_diff
1959.0,1117.0,1959.0,8.896555084447753e-05,0.0001177116658774,1.1424061036124132e-05,9.532920041164874e-06,0.2886895835399627,-0.0689819529652595,-0.0628503262996673,-0.1687565892934799,0.1946067661046981,-0.0716510340571403,0.0602774061262607,-0.0823399275541305,0.262249231338501,-0.208836480975151,0.0932862535119056,-0.1962321698665619,0.2657766938209533,-0.1525520980358123,-0.1043732091784477,-0.1439129114151001,0.2993387579917907,-0.1527978330850601,-0.0328180715441703,-0.0508653968572616,-0.0628503262996673,0.0602774061262607,0.0932862535119056,-0.1043732091784477,-0.0328180715441703,0.2621322065591812,-0.0092955894768238,0.271427796036005,-0.1687565892934799,-0.0823399275541305,-0.1962321698665619,-0.1439129114151001,-0.0508653968572616,-0.1309638798236846,-0.1284213989973068,-0.0025424808263778
1960.0,1057.0,1960.0,8.81553020073105e-05,0.0001171281102025,1.1589230475092136e-05,9.5512612883145e-06,0.3369746804237366,-0.0276481658220291,-0.0713250488042831,-0.1661962270736694,0.2349246442317962,-0.0659657195210456,-0.0356943607330322,-0.0892822667956352,0.2408002763986587,-0.1491514593362808,0.0001017032191157,-0.2966790795326233,0.2078121751546859,-0.0579614266753196,-0.09859299659729,-0.2037604749202728,0.405515193939209,-0.061994194984436,0.0348254963755607,0.0038673905655741,-0.0713250488042831,-0.0356943607330322,0.0001017032191157,-0.09859299659729,0.0348254963755607,0.2852053940296173,-0.0341370413079857,0.3193424353376031,-0.1661962270736694,-0.0892822667956352,-0.2966790795326233,-0.2037604749202728,0.0038673905655741,-0.0725441932678222,-0.1504101315513253,0.077865938283503
1961.0,874.0,1961.0,8.603396370939922e-05,0.0001168004025657,1.178456305495544e-05,9.450182063375222e-06,0.3799725770950317,0.064090259373188,-0.0688229724764823,-0.0895639806985855,0.2952462136745453,-0.032788798213005,0.0381915494799613,-0.0138720497488975,0.2954151034355163,-0.0205140635371208,-0.0004171468317508,-0.2870565354824066,0.1440105736255645,-0.0891075953841209,0.0379235967993736,-0.1767614036798477,0.4280273914337158,-0.0472052097320556,0.0643082931637764,-0.0560549050569534,-0.0688229724764823,0.0381915494799613,-0.0004171468317508,0.0379235967993736,0.0643082931637764,0.3085343718528747,0.0142366640269756,0.2942977078258991,-0.0895639806985855,-0.0138720497488975,-0.2870565354824066,-0.1767614036798477,-0.0560549050569534,-0.0251050814986228,-0.1246617749333381,0.0995566934347152
1962.0,926.0,1962.0,8.579425182883175e-05,0.0001167437161971,1.1938582726046216e-05,9.461533064479356e-06,0.3426828384399414,0.0422824323177337,0.0278322510421276,-0.0079120006412267,0.2781358361244201,0.0348008498549461,-0.0358652137219905,0.0272476449608802,0.301037460565567,-0.1062530055642128,0.0579333081841468,-0.1670106202363968,0.2422996610403061,0.081041969358921,0.0328010842204093,-0.1450816839933395,0.4217838048934936,0.0103660188615322,0.0480198711156845,-0.067483365535736,0.0278322510421276,-0.0358652137219905,0.0579333081841468,0.0328010842204093,0.0480198711156845,0.3171879202127456,0.0261442601680755,0.2910436600446701,-0.0079120006412267,0.0272476449608802,-0.1670106202363968,-0.1450816839933395,-0.067483365535736,0.012447652965784,-0.0720480050891637,0.0844956580549478
1963.0,1034.0,1963.0,8.480564685799306e-05,0.0001169553100096,1.2100899070779542e-05,9.414444087545754e-06,0.4002736210823059,0.0752437487244606,0.0333267077803611,0.0469316281378269,0.255851536989212,0.0451643243432045,0.0598735474050045,0.0352852791547775,0.3128662705421448,-0.1344459056854248,-0.0323104187846183,-0.2459567487239837,0.1473707109689712,-0.0258574169129133,0.0250762719660997,-0.0061198435723781,0.3001401424407959,-0.033395804464817,0.0440868511795997,0.034457191824913,0.0333267077803611,0.0598735474050045,-0.0323104187846183,0.0250762719660997,0.0440868511795997,0.283300456404686,0.0260105919092893,0.2572898644953966,0.0469316281378269,0.0352852791547775,-0.2459567487239837,-0.0061198435723781,0.034457191824913,-0.014658210799098,-0.0270804986357688,0.0124222878366708
1964.0,1152.0,1964.0,8.53358444926146e-05,0.0001178584788509,1.2296559454734655e-05,9.44761262157304e-06,0.3525584638118744,0.0616382732987403,-0.0527212135493755,-0.0292354300618171,0.2597592771053314,0.0621755495667457,-0.0605707615613937,0.12292942404747,0.317673772573471,-0.1520240306854248,0.0450025498867034,-0.1616535186767578,0.2379589676856994,-0.0015437109395861,-0.046845469623804,-0.1429341435432434,0.3484184145927429,-0.0295086801052093,0.0294634327292442,-0.0326996967196464,-0.0527212135493755,-0.0605707615613937,0.0450025498867034,-0.046845469623804,0.0294634327292442,0.3032737791538238,-0.0171342924237251,0.3204080715775489,-0.0292354300618171,0.12292942404747,-0.1616535186767578,-0.1429341435432434,-0.0326996967196464,-0.0118525197729468,-0.0487186729907989,0.0368661532178521
1965.0,1253.0,1965.0,8.498849171343992e-05,0.0001188681714795,1.24333379478671e-05,9.485454959141344e-06,0.3110756278038025,0.0509536787867546,-0.128043845295906,-0.1030137613415718,0.2143086493015289,0.0377385504543781,-0.0259481333196163,0.0247162356972694,0.2153097093105316,-0.2037834823131561,0.0901544988155365,-0.2740634679794311,0.1294229924678802,0.0777101144194603,-0.0527343042194843,-0.1839524507522583,0.2961185872554779,-0.1444195955991745,-0.0053124157711863,-0.1429719030857086,-0.128043845295906,-0.0259481333196163,0.0901544988155365,-0.0527343042194843,-0.0053124157711863,0.2332471132278442,-0.0243768399581313,0.2576239531859756,-0.1030137613415718,0.0247162356972694,-0.2740634679794311,-0.1839524507522583,-0.1429719030857086,-0.0363601468503475,-0.13585706949234,0.0994969226419925
1966.0,1261.0,1966.0,8.529866785725712e-05,0.0001202764133592,1.2615876132767076e-05,9.529019477838575e-06,0.3085399568080902,0.0850839167833328,-0.0367391481995582,0.0235066413879394,0.2533904016017914,0.1729715466499328,0.0040285885334014,0.0652912482619285,0.0995560958981514,-0.1496994495391845,-0.0228847302496433,-0.2423383593559265,0.1747339367866516,0.1212615743279457,-0.0264454539865255,-0.1611250340938568,0.3822447061538696,-0.0174213722348213,0.0709710717201232,-0.0649695917963981,-0.0367391481995582,0.0040285885334014,-0.0228847302496433,-0.0264454539865255,0.0709710717201232,0.2436930194497108,-0.0022139344364404,0.2459069538861513,0.0235066413879394,0.0652912482619285,-0.2423383593559265,-0.1611250340938568,-0.0649695917963981,0.0424392431974411,-0.0759270191192627,0.1183662623167038
1967.0,1237.0,1967.0,8.501925287873747e-05,0.0001217296524243,1.2802894887859696e-05,9.579365318757029e-06,0.2941638529300689,-0.1039322912693023,0.0010524094104766,0.020348347723484,0.2174718976020813,0.1169833987951278,0.14280666410923,0.1044341698288917,0.1288296282291412,-0.0556593686342239,-0.0931215807795524,-0.1974231302738189,0.1906474828720092,0.1016350984573364,-0.0558166429400444,-0.1984676420688629,0.3741235435009002,-0.112121358513832,0.0451498180627822,-0.0193011164665222,0.0010524094104766,0.14280666410923,-0.0931215807795524,-0.0558166429400444,0.0451498180627822,0.2410472810268402,0.0080141335725784,0.2330331474542617,0.020348347723484,0.1044341698288917,-0.1974231302738189,-0.1984676420688629,-0.0193011164665222,-0.0106189042329788,-0.0580818742513656,0.0474629700183868
1968.0,1178.0,1968.0,8.562764736552708e-05,0.000123023394378,1.2995230320017592e-05,9.726758960328291e-06,0.2787396013736725,-0.0560718923807144,0.0381574295461177,0.0761782377958297,0.3845266997814178,0.0587447732686996,0.1331675797700882,0.1635177731513977,0.1780200898647308,-0.0487394258379936,-0.0374726429581642,-0.1236225813627243,0.1221833378076553,0.0368631295859813,-0.0527951605618,-0.1155593618750572,0.4884697794914245,-0.0678933635354042,0.0107029248028993,0.0229266416281461,0.0381574295461177,0.1331675797700882,-0.0374726429581642,-0.0527951605618,0.0107029248028993,0.2903879016637802,0.0183520261198282,0.272035875543952,0.0761782377958297,0.1635177731513977,-0.1236225813627243,-0.1155593618750572,0.0229266416281461,-0.0154193557798862,0.0046881418675184,-0.0201074976474046
