,year,SovietUnion_care_vic,SovietUnion_care_vir,SovietUnion_loya_vic,SovietUnion_loya_vir,SovietUnion_auth_vic,SovietUnion_auth_vir,SovietUnion_sanc_vic,SovietUnion_sanc_vir,SovietUnion_fare_vic,SovietUnion_fare_vir,SovietUnion_care,SovietUnion_loya,SovietUnion_auth,SovietUnion_sanc,SovietUnion_fare,SovietUnion_virtue,SovietUnion_vice,SovietUnion_vir_vic_diff,SovietUnion_vir_vic_diff_z
1873,1873.0,0.9313855767250061,0.917955219745636,0.9605424404144287,0.9198706746101379,0.9218444228172302,0.8970749378204346,0.9491748213768005,0.9461377263069153,0.9324603080749512,0.8802760243415833,0.917955219745636,0.9198706746101379,0.8970749378204346,0.9461377263069153,0.8802760243415833,0.9122629165649414,0.9390815138816834,-0.026818597316741966,0.28202370068444577
1874,1874.0,,,,,,,,,,,,,,,,,,,
1875,1875.0,,,,,,,,,,,,,,,,,,,
1876,1876.0,,,,,,,,,,,,,,,,,,,
1877,1877.0,,,,,,,,,,,,,,,,,,,
1878,1878.0,,,,,,,,,,,,,,,,,,,
1879,1879.0,,,,,,,,,,,,,,,,,,,
1880,1880.0,,,,,,,,,,,,,,,,,,,
1881,1881.0,,,,,,,,,,,,,,,,,,,
1882,1882.0,,,,,,,,,,,,,,,,,,,
1883,1883.0,,,,,,,,,,,,,,,,,,,
1884,1884.0,,,,,,,,,,,,,,,,,,,
1885,1885.0,,,,,,,,,,,,,,,,,,,
1886,1886.0,,,,,,,,,,,,,,,,,,,
1887,1887.0,,,,,,,,,,,,,,,,,,,
1888,1888.0,,,,,,,,,,,,,,,,,,,
1889,1889.0,,,,,,,,,,,,,,,,,,,
1890,1890.0,,,,,,,,,,,,,,,,,,,
1891,1891.0,,,,,,,,,,,,,,,,,,,
1892,1892.0,,,,,,,,,,,,,,,,,,,
1893,1893.0,,,,,,,,,,,,,,,,,,,
1894,1894.0,,,,,,,,,,,,,,,,,,,
1895,1895.0,,,,,,,,,,,,,,,,,,,
1896,1896.0,,,,,,,,,,,,,,,,,,,
1897,1897.0,,,,,,,,,,,,,,,,,,,
1898,1898.0,,,,,,,,,,,,,,,,,,,
1899,1899.0,,,,,,,,,,,,,,,,,,,
1900,1900.0,,,,,,,,,,,,,,,,,,,
1901,1901.0,,,,,,,,,,,,,,,,,,,
1902,1902.0,,,,,,,,,,,,,,,,,,,
1903,1903.0,,,,,,,,,,,,,,,,,,,
1904,1904.0,,,,,,,,,,,,,,,,,,,
1905,1905.0,,,,,,,,,,,,,,,,,,,
1906,1906.0,,,,,,,,,,,,,,,,,,,
1907,1907.0,,,,,,,,,,,,,,,,,,,
1908,1908.0,,,,,,,,,,,,,,,,,,,
1909,1909.0,,,,,,,,,,,,,,,,,,,
1910,1910.0,,,,,,,,,,,,,,,,,,,
1911,1911.0,,,,,,,,,,,,,,,,,,,
1912,1912.0,,,,,,,,,,,,,,,,,,,
1913,1913.0,,,,,,,,,,,,,,,,,,,
1914,1914.0,,,,,,,,,,,,,,,,,,,
1915,1915.0,,,,,,,,,,,,,,,,,,,
1916,1916.0,,,,,,,,,,,,,,,,,,,
1917,1917.0,,,,,,,,,,,,,,,,,,,
1918,1918.0,0.754749059677124,0.7386442422866821,0.7821516394615173,0.8270803689956665,0.8107233047485352,0.8311188817024231,0.7479767799377441,0.7793437242507935,0.7684856653213501,0.7533949613571167,0.7386442422866821,0.8270803689956665,0.8311188817024231,0.7793437242507935,0.7533949613571167,0.7859164357185364,0.7728172898292541,0.013099145889282293,1.9299314894902386
1919,1919.0,0.5794382095336914,0.5562314987182617,0.6073983311653137,0.6395230293273926,0.6651135683059692,0.6553334593772888,0.5587472319602966,0.5884292125701904,0.5419391393661499,0.5656188130378723,0.5562314987182617,0.6395230293273926,0.6553334593772888,0.5884292125701904,0.5656188130378723,0.6010272026062011,0.5905272960662842,0.010499906539916948,1.8226281595729494
1920,1920.0,0.7823952436447144,0.7454301118850708,0.787401556968689,0.7897188663482666,0.8243892192840576,0.7991304993629456,0.7347515821456909,0.7822825908660889,0.7677239179611206,0.7595106363296509,0.7454301118850708,0.7897188663482666,0.7991304993629456,0.7822825908660889,0.7595106363296509,0.7752145409584046,0.7793323040008545,-0.004117763042449929,1.2191729132518967
1921,1921.0,0.7601100206375122,0.7311771512031555,0.7541802525520325,0.7793684601783752,0.786251425743103,0.7681121826171875,0.7926849722862244,0.7953420877456665,0.7312135696411133,0.7086648941040039,0.7311771512031555,0.7793684601783752,0.7681121826171875,0.7953420877456665,0.7086648941040039,0.7565329551696778,0.7648880481719971,-0.008355093002319292,1.0442449618251475
1922,1922.0,0.7871919870376587,0.7436584234237671,0.7757523655891418,0.8087904453277588,0.7946946620941162,0.7741982936859131,0.7527490258216858,0.770226001739502,0.7567917704582214,0.731860876083374,0.7436584234237671,0.8087904453277588,0.7741982936859131,0.770226001739502,0.731860876083374,0.765746808052063,0.7734359622001648,-0.0076891541481017844,1.0717366418800414
1923,1923.0,0.6812255382537842,0.630292534828186,0.6982681751251221,0.6945219039916992,0.7171181440353394,0.7062250375747681,0.6344026923179626,0.6329057216644287,0.7012342214584351,0.6963004469871521,0.630292534828186,0.6945219039916992,0.7062250375747681,0.6329057216644287,0.6963004469871521,0.6720491290092468,0.6864497542381287,-0.014400625228881858,0.7946697392928933
1924,1924.0,0.5211313366889954,0.4742470979690552,0.5546499490737915,0.5953149795532227,0.6190903186798096,0.626459538936615,0.5129113793373108,0.5433714389801025,0.5408697128295898,0.5384678244590759,0.4742470979690552,0.5953149795532227,0.626459538936615,0.5433714389801025,0.5384678244590759,0.5555721759796143,0.5497305393218994,0.005841636657714866,1.6303227183153945
1925,1925.0,0.6967160701751709,0.6912330985069275,0.7319581508636475,0.7699708938598633,0.7269945740699768,0.7497040629386902,0.7003693580627441,0.7272233366966248,0.6788219213485718,0.6786553859710693,0.6912330985069275,0.7699708938598633,0.7497040629386902,0.7272233366966248,0.6786553859710693,0.723357355594635,0.7069720149040222,0.016385340690612815,2.0655941190305884
1926,1926.0,0.6737977266311646,0.652877926826477,0.6730263233184814,0.71071457862854,0.6702646017074585,0.6754995584487915,0.6118978261947632,0.667037844657898,0.6315680146217346,0.6071904897689819,0.652877926826477,0.71071457862854,0.6754995584487915,0.667037844657898,0.6071904897689819,0.6626640796661377,0.6521108984947205,0.010553181171417236,1.8248274742922703
1927,1927.0,0.7658661603927612,0.7194843292236328,0.7937783598899841,0.7854361534118652,0.8147016763687134,0.7861097455024719,0.7513926029205322,0.7953304648399353,0.7651264071464539,0.6902022361755371,0.7194843292236328,0.7854361534118652,0.7861097455024719,0.7953304648399353,0.6902022361755371,0.7553125858306885,0.7781730413436889,-0.02286045551300042,0.44542604219254794
1928,1928.0,0.783329427242279,0.7520838975906372,0.7915043830871582,0.785546064376831,0.8047252297401428,0.7558004856109619,0.7892448306083679,0.8078094720840454,0.7392721176147461,0.6880106925964355,0.7520838975906372,0.785546064376831,0.7558004856109619,0.8078094720840454,0.6880106925964355,0.7578501224517822,0.7816151976585388,-0.023765075206756636,0.4080809991235049
1929,1929.0,0.6023586988449097,0.5590308904647827,0.6415719389915466,0.6491847038269043,0.6573964357376099,0.660763144493103,0.5724707841873169,0.574374794960022,0.6014037728309631,0.6319596171379089,0.5590308904647827,0.6491847038269043,0.660763144493103,0.574374794960022,0.6319596171379089,0.6150626301765442,0.6150403261184693,2.2304058074906763e-05,1.3900856020259422
1930,1930.0,0.5102574825286865,0.4634977877140045,0.5360472202301025,0.5486934185028076,0.5609752535820007,0.517031192779541,0.489728718996048,0.5341086983680725,0.5020264983177185,0.4786135256290436,0.4634977877140045,0.5486934185028076,0.517031192779541,0.5341086983680725,0.4786135256290436,0.5083889245986939,0.5198070347309113,-0.011418110132217385,0.9177956843809539
1931,1931.0,0.526727557182312,0.5059719085693359,0.5540440678596497,0.554629921913147,0.5879088640213013,0.539629340171814,0.5175653696060181,0.5182268023490906,0.5231322050094604,0.5388899445533752,0.5059719085693359,0.554629921913147,0.539629340171814,0.5182268023490906,0.5388899445533752,0.5314695835113525,0.5418756127357482,-0.010406029224395708,0.9595770045896895
1932,1932.0,0.522128701210022,0.4685320258140564,0.5122607946395874,0.5341411232948303,0.5885700583457947,0.546600341796875,0.5025189518928528,0.49650776386260986,0.5182518362998962,0.5289058685302734,0.4685320258140564,0.5341411232948303,0.546600341796875,0.49650776386260986,0.5289058685302734,0.514937424659729,0.5287460684776306,-0.013808643817901589,0.819108264611013
1933,1933.0,0.44559478759765625,0.4113152027130127,0.4980095624923706,0.49608519673347473,0.5356365442276001,0.5239308476448059,0.44046512246131897,0.4600740075111389,0.4729815721511841,0.46577805280685425,0.4113152027130127,0.49608519673347473,0.5239308476448059,0.4600740075111389,0.46577805280685425,0.4714366614818573,0.478537517786026,-0.007100856304168679,1.096023100013494
1934,1934.0,0.525469183921814,0.5221779346466064,0.5813636779785156,0.6125084161758423,0.6112746596336365,0.6065154075622559,0.53899085521698,0.5789145231246948,0.5416286587715149,0.5645686388015747,0.5221779346466064,0.6125084161758423,0.6065154075622559,0.5789145231246948,0.5645686388015747,0.5769369840621948,0.5597454071044922,0.01719157695770268,2.0988776395266715
1935,1935.0,0.4979807138442993,0.435748815536499,0.5330353379249573,0.5569361448287964,0.5593276023864746,0.5435209274291992,0.49565625190734863,0.5281455516815186,0.5002286434173584,0.45377910137176514,0.435748815536499,0.5569361448287964,0.5435209274291992,0.5281455516815186,0.45377910137176514,0.5036261081695557,0.5172457098960876,-0.013619601726531982,0.8269124115832571
1936,1936.0,0.5306107997894287,0.5101220011711121,0.5934913158416748,0.5752006769180298,0.599876344203949,0.5529759526252747,0.5460793972015381,0.5740755200386047,0.5328387022018433,0.4924049973487854,0.5101220011711121,0.5752006769180298,0.5529759526252747,0.5740755200386047,0.4924049973487854,0.5409558296203614,0.5605793118476867,-0.01962348222732535,0.579056680129394
1937,1937.0,0.4384537935256958,0.4264863133430481,0.4850943088531494,0.5516870617866516,0.46210289001464844,0.4759005904197693,0.44491782784461975,0.46370649337768555,0.4397125244140625,0.41568106412887573,0.4264863133430481,0.5516870617866516,0.4759005904197693,0.46370649337768555,0.41568106412887573,0.46669230461120603,0.45405626893043516,0.012636035680770874,1.910813101064756
1938,1938.0,0.5284848213195801,0.4313547611236572,0.5819176435470581,0.5614650845527649,0.5850993394851685,0.5231567025184631,0.500296950340271,0.5554609298706055,0.4645029604434967,0.4540534019470215,0.4313547611236572,0.5614650845527649,0.5231567025184631,0.5554609298706055,0.4540534019470215,0.5050981760025024,0.5320603430271149,-0.026962167024612516,0.276096771433577
1939,1939.0,0.49668562412261963,0.43746912479400635,0.5317525863647461,0.5683102607727051,0.5487109422683716,0.4970163106918335,0.46760615706443787,0.47789424657821655,0.4848097264766693,0.42642682790756226,0.43746912479400635,0.5683102607727051,0.4970163106918335,0.47789424657821655,0.42642682790756226,0.4814233541488647,0.5059130072593689,-0.024489653110504217,0.37816854728424326
1940,1940.0,0.4795202910900116,0.4191795587539673,0.5489249229431152,0.551459014415741,0.5636272430419922,0.5054152011871338,0.4569845497608185,0.47217562794685364,0.4722566604614258,0.4300929605960846,0.4191795587539673,0.551459014415741,0.5054152011871338,0.47217562794685364,0.4300929605960846,0.47566447257995603,0.5042627334594727,-0.028598260879516668,0.208554581164991
1941,1941.0,0.5582236051559448,0.49041688442230225,0.5718356370925903,0.5865617990493774,0.5672755241394043,0.5342845916748047,0.5228247046470642,0.5305954217910767,0.5160387754440308,0.42907053232192993,0.49041688442230225,0.5865617990493774,0.5342845916748047,0.5305954217910767,0.42907053232192993,0.5141858458518982,0.5472396492958069,-0.033053803443908736,0.02461824845895405
1942,1942.0,0.5854102373123169,0.5506526231765747,0.6306116580963135,0.6607434749603271,0.6327846646308899,0.6182343363761902,0.5548659563064575,0.6221126914024353,0.5741609334945679,0.5158737301826477,0.5506526231765747,0.6607434749603271,0.6182343363761902,0.6221126914024353,0.5158737301826477,0.593523371219635,0.5955666899681091,-0.0020433187484740767,1.3048113445590712
1943,1943.0,0.4906057119369507,0.4274202287197113,0.5754204988479614,0.5951708555221558,0.5343503355979919,0.5248968005180359,0.4684724509716034,0.5065605640411377,0.4904767572879791,0.4494817852973938,0.4274202287197113,0.5951708555221558,0.5248968005180359,0.5065605640411377,0.4494817852973938,0.5007060468196869,0.5118651509284973,-0.01115910410881038,0.9284881236082198
1944,1944.0,0.4740799367427826,0.39693012833595276,0.505027174949646,0.5405327677726746,0.514654278755188,0.5033658146858215,0.42610543966293335,0.47425004839897156,0.43357667326927185,0.422627329826355,0.39693012833595276,0.5405327677726746,0.5033658146858215,0.47425004839897156,0.422627329826355,0.4675412178039551,0.47068870067596436,-0.0031474828720092773,1.2592285907971057
1945,1945.0,0.6812293529510498,0.6356381177902222,0.733913242816925,0.7333799004554749,0.7574893236160278,0.7057063579559326,0.6912106275558472,0.695038914680481,0.6823066473007202,0.6192229986190796,0.6356381177902222,0.7333799004554749,0.7057063579559326,0.695038914680481,0.6192229986190796,0.677797257900238,0.709229838848114,-0.03143258094787593,0.09154651053055415
1946,1946.0,0.6548453569412231,0.5886185169219971,0.7305129170417786,0.7168182730674744,0.7094160318374634,0.6893302202224731,0.6558431386947632,0.6805015802383423,0.6584261655807495,0.5788775086402893,0.5886185169219971,0.7168182730674744,0.6893302202224731,0.6805015802383423,0.5788775086402893,0.6508292198181153,0.6818087220191955,-0.030979502201080256,0.11025077424439766
1947,1947.0,0.7095561623573303,0.6400684118270874,0.7554717063903809,0.7230297327041626,0.7501745223999023,0.6843916773796082,0.726230263710022,0.6963412761688232,0.7013405561447144,0.5868011713027954,0.6400684118270874,0.7230297327041626,0.6843916773796082,0.6963412761688232,0.5868011713027954,0.6661264538764954,0.72855464220047,-0.062428188323974565,-1.1880324113091631
1948,1948.0,0.7093303203582764,0.6127513647079468,0.7725854516029358,0.7392789721488953,0.7603188753128052,0.6918798685073853,0.7223533987998962,0.7036764621734619,0.6940041780471802,0.6143861413002014,0.6127513647079468,0.7392789721488953,0.6918798685073853,0.7036764621734619,0.6143861413002014,0.6723945617675782,0.7317184448242188,-0.0593238830566406,-1.059878652654329
1949,1949.0,0.7211387157440186,0.6293751001358032,0.8016799688339233,0.7412673234939575,0.7725452184677124,0.6891588568687439,0.728527843952179,0.714028537273407,0.6913430690765381,0.5984166264533997,0.6293751001358032,0.7412673234939575,0.6891588568687439,0.714028537273407,0.5984166264533997,0.6744492888450623,0.7430469632148743,-0.06859767436981201,-1.4427247684244284
1950,1950.0,0.6918361783027649,0.5987634062767029,0.7369363903999329,0.719842255115509,0.732896089553833,0.6841310858726501,0.7080302238464355,0.6809033751487732,0.6731499433517456,0.5797652006149292,0.5987634062767029,0.719842255115509,0.6841310858726501,0.6809033751487732,0.5797652006149292,0.6526810646057128,0.7085697650909424,-0.05588870048522954,-0.9180654222274172
1951,1951.0,0.7642930746078491,0.6673270463943481,0.7806934714317322,0.7551956176757812,0.7975765466690063,0.7271665334701538,0.7571076154708862,0.7521894574165344,0.7288556098937988,0.6459543108940125,0.6673270463943481,0.7551956176757812,0.7271665334701538,0.7521894574165344,0.6459543108940125,0.709566593170166,0.7657052636146545,-0.0561386704444885,-0.9283848293317785
1952,1952.0,0.7491741180419922,0.6428781151771545,0.776180624961853,0.7533615231513977,0.7587133049964905,0.6977859735488892,0.7475969791412354,0.6955711841583252,0.7162965536117554,0.6073976159095764,0.6428781151771545,0.7533615231513977,0.6977859735488892,0.6955711841583252,0.6073976159095764,0.6793988823890686,0.7495923161506652,-0.07019343376159659,-1.5086018476272662
1953,1953.0,0.6616548299789429,0.5235638618469238,0.703587532043457,0.6594852805137634,0.6979329586029053,0.6106348037719727,0.614388644695282,0.6293905973434448,0.6086125373840332,0.5021229386329651,0.5235638618469238,0.6594852805137634,0.6106348037719727,0.6293905973434448,0.5021229386329651,0.585039496421814,0.657235300540924,-0.07219580411911009,-1.5912648802338376
1954,1954.0,0.7390874624252319,0.6423841714859009,0.7731741666793823,0.7601200938224792,0.7907916307449341,0.7274921536445618,0.7286180257797241,0.7099717855453491,0.7056460976600647,0.6365033984184265,0.6423841714859009,0.7601200938224792,0.7274921536445618,0.7099717855453491,0.6365033984184265,0.6952943205833435,0.7474634766578674,-0.05216915607452388,-0.7645129988457802
1955,1955.0,0.7437316179275513,0.6461954116821289,0.783939003944397,0.7504645586013794,0.8056753873825073,0.7429611682891846,0.7511208653450012,0.7119521498680115,0.7281498908996582,0.6663788557052612,0.6461954116821289,0.7504645586013794,0.7429611682891846,0.7119521498680115,0.6663788557052612,0.7035904288291931,0.762523353099823,-0.058932924270629905,-1.0437388617537287
1956,1956.0,0.6972984075546265,0.5956606864929199,0.7418404221534729,0.7087656259536743,0.7300428152084351,0.6647734642028809,0.683752179145813,0.6456666588783264,0.6823891401290894,0.571722686290741,0.5956606864929199,0.7087656259536743,0.6647734642028809,0.6456666588783264,0.571722686290741,0.6373178243637085,0.7070645928382874,-0.06974676847457884,-1.49016234813786
1957,1957.0,0.7079543471336365,0.6082589626312256,0.7308885455131531,0.7168334722518921,0.7467389106750488,0.6629829406738281,0.6984347701072693,0.6559964418411255,0.6649363040924072,0.5867699384689331,0.6082589626312256,0.7168334722518921,0.6629829406738281,0.6559964418411255,0.5867699384689331,0.6461683511734009,0.709790575504303,-0.06362222433090214,-1.2373253091008793
1958,1958.0,0.7313307523727417,0.6433800458908081,0.791250467300415,0.7506773471832275,0.7990657091140747,0.7241823673248291,0.7393620014190674,0.6986514329910278,0.7231380939483643,0.6635055541992188,0.6433800458908081,0.7506773471832275,0.7241823673248291,0.6986514329910278,0.6635055541992188,0.6960793495178222,0.7568294048309326,-0.060750055313110396,-1.1187547358408307
1959,1959.0,0.6232707500457764,0.5391554236412048,0.6608712077140808,0.6454410552978516,0.662745475769043,0.6129096746444702,0.600726842880249,0.5919315218925476,0.6179223656654358,0.5585939288139343,0.5391554236412048,0.6454410552978516,0.6129096746444702,0.5919315218925476,0.5585939288139343,0.5896063208580017,0.633107328414917,-0.04350100755691533,-0.4066693857194554
1960,1960.0,0.5392217040061951,0.4377574324607849,0.5927861928939819,0.5778374075889587,0.596332848072052,0.5315813422203064,0.5109493732452393,0.4942038655281067,0.5201044082641602,0.4768250584602356,0.4377574324607849,0.5778374075889587,0.5315813422203064,0.4942038655281067,0.4768250584602356,0.5036410212516784,0.5518789052963257,-0.04823788404464724,-0.6022199111701626
1961,1961.0,0.5560853481292725,0.42197439074516296,0.5967377424240112,0.565586507320404,0.616728663444519,0.5410987138748169,0.5296028256416321,0.48369747400283813,0.5405000448226929,0.4629857540130615,0.42197439074516296,0.565586507320404,0.5410987138748169,0.48369747400283813,0.4629857540130615,0.4950685679912567,0.5679309248924256,-0.07286235690116888,-1.6187819048195133
1962,1962.0,0.5645028948783875,0.4632776379585266,0.6416050791740417,0.5965995788574219,0.6244608163833618,0.5425050854682922,0.5371763706207275,0.48534461855888367,0.549015998840332,0.5085374116897583,0.4632776379585266,0.5965995788574219,0.5425050854682922,0.48534461855888367,0.5085374116897583,0.5192528665065765,0.5833522319793701,-0.0640993654727936,-1.2570229307831582
1963,1963.0,0.522179365158081,0.44753846526145935,0.5983110666275024,0.5739184617996216,0.580480694770813,0.531352162361145,0.5059382915496826,0.47396039962768555,0.5603578686714172,0.5220457315444946,0.44753846526145935,0.5739184617996216,0.531352162361145,0.47396039962768555,0.5220457315444946,0.5097630441188812,0.5534534573554992,-0.04369041323661804,-0.41448854255944056
1964,1964.0,0.5584982633590698,0.45042356848716736,0.6128175258636475,0.5984874963760376,0.6067821979522705,0.5305569171905518,0.5242307782173157,0.5279039144515991,0.5346542000770569,0.4892510175704956,0.45042356848716736,0.5984874963760376,0.5305569171905518,0.5279039144515991,0.4892510175704956,0.5193245828151702,0.567396593093872,-0.04807201027870178,-0.5953722126555128
1965,1965.0,0.5453823208808899,0.45204293727874756,0.6391168832778931,0.6067661046981812,0.6313072443008423,0.5576844215393066,0.5181946158409119,0.5285643339157104,0.5418449640274048,0.4722597301006317,0.45204293727874756,0.6067661046981812,0.5576844215393066,0.5285643339157104,0.4722597301006317,0.5234635055065155,0.5751692056655884,-0.05170570015907283,-0.745380338742775
1966,1966.0,0.6208530068397522,0.5271901488304138,0.7015311121940613,0.6609524488449097,0.6757457852363586,0.6192775964736938,0.5995782613754272,0.5899516344070435,0.591866672039032,0.533008873462677,0.5271901488304138,0.6609524488449097,0.6192775964736938,0.5899516344070435,0.533008873462677,0.5860761404037476,0.6379149675369262,-0.051838827133178667,-0.7508761649070168
1967,1967.0,0.5525413751602173,0.47247380018234253,0.5949569940567017,0.5877572298049927,0.5730893015861511,0.5516635179519653,0.4909273386001587,0.534813642501831,0.5395346283912659,0.5411322712898254,0.47247380018234253,0.5877572298049927,0.5516635179519653,0.534813642501831,0.5411322712898254,0.5375680923461914,0.550209927558899,-0.012641835212707564,0.8672771447659081
1968,1968.0,0.5669476985931396,0.48419564962387085,0.6233730912208557,0.6260687708854675,0.5870273113250732,0.5542683005332947,0.5170361995697021,0.5307552814483643,0.5221129059791565,0.5374133586883545,0.48419564962387085,0.6260687708854675,0.5542683005332947,0.5307552814483643,0.5374133586883545,0.5465402722358703,0.5632994413375855,-0.016759169101715155,0.6973029418208456
1969,1969.0,0.51909339427948,0.45182180404663086,0.5738852024078369,0.5588808059692383,0.5426591634750366,0.5392686724662781,0.46782854199409485,0.4876651465892792,0.4939430058002472,0.5175860524177551,0.45182180404663086,0.5588808059692383,0.5392686724662781,0.4876651465892792,0.5175860524177551,0.5110444962978363,0.5194818615913391,-0.008437365293502808,1.0408485486375463
1970,1970.0,0.5632274150848389,0.47416138648986816,0.6207525730133057,0.5865346789360046,0.5980713367462158,0.558749794960022,0.5017051696777344,0.550157904624939,0.5139721632003784,0.5194696187973022,0.47416138648986816,0.5865346789360046,0.558749794960022,0.550157904624939,0.5194696187973022,0.5378146767616272,0.5595457315444946,-0.02173105478286741,0.49205062841385167
1971,1971.0,0.5285290479660034,0.459076464176178,0.5955274105072021,0.6064378023147583,0.5871924161911011,0.5633783340454102,0.48097121715545654,0.5381567478179932,0.5016980171203613,0.5037345886230469,0.459076464176178,0.6064378023147583,0.5633783340454102,0.5381567478179932,0.5037345886230469,0.5341567873954773,0.5387836217880249,-0.004626834392547519,1.1981571299057807
1972,1972.0,0.5282155275344849,0.46115946769714355,0.5876097679138184,0.5843932032585144,0.6068153381347656,0.5551950335502625,0.4727659821510315,0.5279427170753479,0.5185708999633789,0.5361206531524658,0.46115946769714355,0.5843932032585144,0.5551950335502625,0.5279427170753479,0.5361206531524658,0.5329622149467468,0.5427955031394959,-0.00983328819274909,0.9832212372345022
1973,1973.0,0.5338881611824036,0.4777365028858185,0.6223452091217041,0.5982445478439331,0.6234146952629089,0.5667672157287598,0.5003809332847595,0.5423697233200073,0.5347414016723633,0.5504471063613892,0.4777365028858185,0.5982445478439331,0.5667672157287598,0.5423697233200073,0.5504471063613892,0.5471130192279816,0.5629540801048278,-0.015841060876846225,0.7352048263767802
1974,1974.0,0.5183520317077637,0.45697131752967834,0.5859807133674622,0.5952255725860596,0.5979433059692383,0.5481913685798645,0.4808739423751831,0.5100724101066589,0.5057845115661621,0.525860607624054,0.45697131752967834,0.5952255725860596,0.5481913685798645,0.5100724101066589,0.525860607624054,0.5272642552852631,0.5377869009971619,-0.01052264571189876,0.9547627740589804
1975,1975.0,0.5848065614700317,0.49857470393180847,0.6273320913314819,0.6305224895477295,0.6260374784469604,0.5701909065246582,0.5329134464263916,0.5578231811523438,0.52521151304245,0.5339329242706299,0.49857470393180847,0.6305224895477295,0.5701909065246582,0.5578231811523438,0.5339329242706299,0.558208841085434,0.5792602181434632,-0.021051377058029175,0.5201094846186708
1976,1976.0,0.6066591143608093,0.532813549041748,0.6644442081451416,0.6761777400970459,0.6727403998374939,0.5988448858261108,0.536385715007782,0.5996966361999512,0.550873875617981,0.522329568862915,0.532813549041748,0.6761777400970459,0.5988448858261108,0.5996966361999512,0.522329568862915,0.5859724760055542,0.6062206625938416,-0.02024818658828731,0.5532672667144896
1977,1977.0,0.605987548828125,0.5094296932220459,0.6742331981658936,0.6584063768386841,0.6743912100791931,0.6049680113792419,0.5352677702903748,0.5773806571960449,0.5496580600738525,0.5170190334320068,0.5094296932220459,0.6584063768386841,0.6049680113792419,0.5773806571960449,0.5170190334320068,0.5734407544136048,0.6079075574874878,-0.03446680307388306,-0.033714034601150855
1978,1978.0,0.5441558361053467,0.4281703233718872,0.6258955001831055,0.5852417945861816,0.6095958352088928,0.5291682481765747,0.48409268260002136,0.4866442084312439,0.499894917011261,0.47658059000968933,0.4281703233718872,0.5852417945861816,0.5291682481765747,0.4866442084312439,0.47658059000968933,0.5011610329151154,0.5527269542217255,-0.051565921306610085,-0.7396099058178762
