Congress,House Majority,Senate Majority,Presidency,Party Government,start_year,end_year,year,Presidency_party
54th (1895–1897),Republicans,Republicans,Democrat (Cleveland),Divided,1895,1897,1895,Democrat
54th (1895–1897),Republicans,Republicans,Democrat (Cleveland),Divided,1895,1897,1896,Democrat
54th (1895–1897),Republicans,Republicans,Democrat (Cleveland),Divided,1895,1897,1897,Democrat
55th (1897–1899),Republicans,Republicans,Republican (McKinley),Unified,1897,1899,1897,Republican
55th (1897–1899),Republicans,Republicans,Republican (McKinley),Unified,1897,1899,1898,Republican
55th (1897–1899),Republicans,Republicans,Republican (McKinley),Unified,1897,1899,1899,Republican
56th (1899–1901),Republicans,Republicans,Republican (McKinley),Unified,1899,1901,1899,Republican
56th (1899–1901),Republicans,Republicans,Republican (McKinley),Unified,1899,1901,1900,Republican
56th (1899–1901),Republicans,Republicans,Republican (McKinley),Unified,1899,1901,1901,Republican
57th (1901–1903),Republicans,Republicans,Republican (McKinley / T. Roosevelt)5,Unified,1901,1903,1901,Republican
57th (1901–1903),Republicans,Republicans,Republican (McKinley / T. Roosevelt)5,Unified,1901,1903,1902,Republican
57th (1901–1903),Republicans,Republicans,Republican (McKinley / T. Roosevelt)5,Unified,1901,1903,1903,Republican
58th (1903–1905),Republicans,Republicans,Republican (T. Roosevelt),Unified,1903,1905,1903,Republican
58th (1903–1905),Republicans,Republicans,Republican (T. Roosevelt),Unified,1903,1905,1904,Republican
58th (1903–1905),Republicans,Republicans,Republican (T. Roosevelt),Unified,1903,1905,1905,Republican
59th (1905–1907),Republicans,Republicans,Republican (T. Roosevelt),Unified,1905,1907,1905,Republican
59th (1905–1907),Republicans,Republicans,Republican (T. Roosevelt),Unified,1905,1907,1906,Republican
59th (1905–1907),Republicans,Republicans,Republican (T. Roosevelt),Unified,1905,1907,1907,Republican
60th (1907–1909),Republicans,Republicans,Republican (T. Roosevelt),Unified,1907,1909,1907,Republican
60th (1907–1909),Republicans,Republicans,Republican (T. Roosevelt),Unified,1907,1909,1908,Republican
60th (1907–1909),Republicans,Republicans,Republican (T. Roosevelt),Unified,1907,1909,1909,Republican
61st (1909–1911),Republicans,Republicans,Republican (Taft),Unified,1909,1911,1909,Republican
61st (1909–1911),Republicans,Republicans,Republican (Taft),Unified,1909,1911,1910,Republican
61st (1909–1911),Republicans,Republicans,Republican (Taft),Unified,1909,1911,1911,Republican
62nd (1911–1913),Democrats,Republicans,Republican (Taft),Divided,1911,1913,1911,Republican
62nd (1911–1913),Democrats,Republicans,Republican (Taft),Divided,1911,1913,1912,Republican
62nd (1911–1913),Democrats,Republicans,Republican (Taft),Divided,1911,1913,1913,Republican
63rd (1913–1915),Democrats,Democrats,Democrat (Wilson),Unified,1913,1915,1913,Democrat
63rd (1913–1915),Democrats,Democrats,Democrat (Wilson),Unified,1913,1915,1914,Democrat
63rd (1913–1915),Democrats,Democrats,Democrat (Wilson),Unified,1913,1915,1915,Democrat
64th (1915–1917),Democrats,Democrats,Democrat (Wilson),Unified,1915,1917,1915,Democrat
64th (1915–1917),Democrats,Democrats,Democrat (Wilson),Unified,1915,1917,1916,Democrat
64th (1915–1917),Democrats,Democrats,Democrat (Wilson),Unified,1915,1917,1917,Democrat
65th (1917–1919),Democrats6,Democrats,Democrat (Wilson),Unified,1917,1919,1917,Democrat
65th (1917–1919),Democrats6,Democrats,Democrat (Wilson),Unified,1917,1919,1918,Democrat
65th (1917–1919),Democrats6,Democrats,Democrat (Wilson),Unified,1917,1919,1919,Democrat
66th (1919–1921),Republicans,Republicans,Democrat (Wilson),Divided,1919,1921,1919,Democrat
66th (1919–1921),Republicans,Republicans,Democrat (Wilson),Divided,1919,1921,1920,Democrat
66th (1919–1921),Republicans,Republicans,Democrat (Wilson),Divided,1919,1921,1921,Democrat
67th (1921–1923),Republicans,Republicans,Republican (Harding),Unified,1921,1923,1921,Republican
67th (1921–1923),Republicans,Republicans,Republican (Harding),Unified,1921,1923,1922,Republican
67th (1921–1923),Republicans,Republicans,Republican (Harding),Unified,1921,1923,1923,Republican
68th (1923–1925),Republicans,Republicans,Republican (Harding / Coolidge)7,Unified,1923,1925,1923,Republican
68th (1923–1925),Republicans,Republicans,Republican (Harding / Coolidge)7,Unified,1923,1925,1924,Republican
68th (1923–1925),Republicans,Republicans,Republican (Harding / Coolidge)7,Unified,1923,1925,1925,Republican
69th (1925–1927),Republicans,Republicans,Republican (Coolidge),Unified,1925,1927,1925,Republican
69th (1925–1927),Republicans,Republicans,Republican (Coolidge),Unified,1925,1927,1926,Republican
69th (1925–1927),Republicans,Republicans,Republican (Coolidge),Unified,1925,1927,1927,Republican
70th (1927–1929),Republicans,Republicans,Republican (Coolidge),Unified,1927,1929,1927,Republican
70th (1927–1929),Republicans,Republicans,Republican (Coolidge),Unified,1927,1929,1928,Republican
70th (1927–1929),Republicans,Republicans,Republican (Coolidge),Unified,1927,1929,1929,Republican
71st (1929–1931),Republicans,Republicans,Republican (Hoover),Unified,1929,1931,1929,Republican
71st (1929–1931),Republicans,Republicans,Republican (Hoover),Unified,1929,1931,1930,Republican
71st (1929–1931),Republicans,Republicans,Republican (Hoover),Unified,1929,1931,1931,Republican
72nd (1931–1933),Democrats8,Republicans,Republican (Hoover),Divided,1931,1933,1931,Republican
72nd (1931–1933),Democrats8,Republicans,Republican (Hoover),Divided,1931,1933,1932,Republican
72nd (1931–1933),Democrats8,Republicans,Republican (Hoover),Divided,1931,1933,1933,Republican
73rd (1933–1935),Democrats,Democrats,Democrat (F. Roosevelt),Unified,1933,1935,1933,Democrat
73rd (1933–1935),Democrats,Democrats,Democrat (F. Roosevelt),Unified,1933,1935,1934,Democrat
73rd (1933–1935),Democrats,Democrats,Democrat (F. Roosevelt),Unified,1933,1935,1935,Democrat
74th (1935–1937),Democrats,Democrats,Democrat (F. Roosevelt),Unified,1935,1937,1935,Democrat
74th (1935–1937),Democrats,Democrats,Democrat (F. Roosevelt),Unified,1935,1937,1936,Democrat
74th (1935–1937),Democrats,Democrats,Democrat (F. Roosevelt),Unified,1935,1937,1937,Democrat
75th (1937–1939),Democrats,Democrats,Democrat (F. Roosevelt),Unified,1937,1939,1937,Democrat
75th (1937–1939),Democrats,Democrats,Democrat (F. Roosevelt),Unified,1937,1939,1938,Democrat
75th (1937–1939),Democrats,Democrats,Democrat (F. Roosevelt),Unified,1937,1939,1939,Democrat
76th (1939–1941),Democrats,Democrats,Democrat (F. Roosevelt),Unified,1939,1941,1939,Democrat
76th (1939–1941),Democrats,Democrats,Democrat (F. Roosevelt),Unified,1939,1941,1940,Democrat
76th (1939–1941),Democrats,Democrats,Democrat (F. Roosevelt),Unified,1939,1941,1941,Democrat
77th (1941–1943),Democrats,Democrats,Democrat (F. Roosevelt),Unified,1941,1943,1941,Democrat
77th (1941–1943),Democrats,Democrats,Democrat (F. Roosevelt),Unified,1941,1943,1942,Democrat
77th (1941–1943),Democrats,Democrats,Democrat (F. Roosevelt),Unified,1941,1943,1943,Democrat
78th (1943–1945),Democrats,Democrats,Democrat (F. Roosevelt),Unified,1943,1945,1943,Democrat
78th (1943–1945),Democrats,Democrats,Democrat (F. Roosevelt),Unified,1943,1945,1944,Democrat
78th (1943–1945),Democrats,Democrats,Democrat (F. Roosevelt),Unified,1943,1945,1945,Democrat
79th (1945–1947),Democrats,Democrats,Democrat (F. Roosevelt / Truman)9,Unified,1945,1947,1945,Democrat
79th (1945–1947),Democrats,Democrats,Democrat (F. Roosevelt / Truman)9,Unified,1945,1947,1946,Democrat
79th (1945–1947),Democrats,Democrats,Democrat (F. Roosevelt / Truman)9,Unified,1945,1947,1947,Democrat
80th (1947–1949),Republicans,Republicans,Democrat (Truman),Divided,1947,1949,1947,Democrat
80th (1947–1949),Republicans,Republicans,Democrat (Truman),Divided,1947,1949,1948,Democrat
80th (1947–1949),Republicans,Republicans,Democrat (Truman),Divided,1947,1949,1949,Democrat
81st (1949–1951),Democrats,Democrats,Democrat (Truman),Unified,1949,1951,1949,Democrat
81st (1949–1951),Democrats,Democrats,Democrat (Truman),Unified,1949,1951,1950,Democrat
81st (1949–1951),Democrats,Democrats,Democrat (Truman),Unified,1949,1951,1951,Democrat
82nd (1951–1953),Democrats,Democrats,Democrat (Truman),Unified,1951,1953,1951,Democrat
82nd (1951–1953),Democrats,Democrats,Democrat (Truman),Unified,1951,1953,1952,Democrat
82nd (1951–1953),Democrats,Democrats,Democrat (Truman),Unified,1951,1953,1953,Democrat
83rd (1953–1955),Republicans,Republicans,Republican (Eisenhower),Unified,1953,1955,1953,Republican
83rd (1953–1955),Republicans,Republicans,Republican (Eisenhower),Unified,1953,1955,1954,Republican
83rd (1953–1955),Republicans,Republicans,Republican (Eisenhower),Unified,1953,1955,1955,Republican
84th (1955–1957),Democrats,Democrats,Republican (Eisenhower),Divided,1955,1957,1955,Republican
84th (1955–1957),Democrats,Democrats,Republican (Eisenhower),Divided,1955,1957,1956,Republican
