,0,1,2,3,4,5,6,7,8,9
effort,effort,toil,hardwork,travail,labor,endeavor,perseverance,persistence,tenacity,dedication
efficiency,efficient,successful,productive,expedient,effective,efficacious,economical,costeffective,profitable,beneficial
