,0,1,2,3,4,5,6,7,8,9,10,11,12
effort,努力,力求,尽力,殚思竭虑,刻苦,奋斗,倾注全力,力争,始终不懈,孜孜不息,败而不馁,坚守不渝,躬行实践
efficiency,效益,效率,效用,效能,效果,最优化,产出率,节本降耗,利用率,增值性,,,
