Year,indi_%,coll_%,tight_%,loose_%
1873,0.3100337512496983,0.25252883806666565,0.05758843520653744,0.03629031921282163
1874,0.29848304284668803,0.2192192125796231,0.05715397524138434,0.04222982309904994
1875,0.37611071874736873,0.23748030305373552,0.05438676983828313,0.04364688637890653
1876,0.2465244738965445,0.23838797968588613,0.06384887818086071,0.04650232455119324
1877,0.3049368925201782,0.24301055877524466,0.06393838068971479,0.0455318771578272
1878,0.2431589194767801,0.25952851236175284,0.08379930662307224,0.055830068448748
1879,0.29782221686811494,0.26777228981782647,0.0713434793666091,0.05708816876146114
1880,0.2977220950489959,0.24225815891456967,0.061371337616199416,0.0480796842822097
1881,0.3427695881575208,0.26821864432609654,0.0724915254935396,0.051155951513054645
1882,0.28613507258573534,0.23042791512665997,0.057528473768334844,0.05043162056328917
1883,0.36256142251831736,0.2392432225263611,0.05246198723878426,0.04370846512904347
1884,0.3027394842672587,0.23146673572900273,0.05754034350854072,0.04412122528558703
1885,0.41476865957158215,0.2459780699966972,0.05529032285534069,0.0448891730112667
1886,0.3377344233853376,0.24325827784936088,0.0515601784572015,0.038237923273979804
1887,0.2958650534238898,0.25643670352573794,0.06747532044425995,0.05045406114544437
1888,0.342412258965706,0.23891318101775216,0.05989686052796891,0.0428717679013511
1889,0.3113173203548558,0.22463125438255727,0.054826249166245206,0.04832723745580794
1890,0.31293626821743664,0.24661120373668668,0.06541168965209553,0.04075056927842686
1891,0.2797405074792816,0.25178258630126377,0.06059341763005004,0.05473300722927323
1892,0.28698609759418287,0.24374593441614437,0.059124304753644524,0.04292500163884
1893,0.3124975235297691,0.24011855358289108,0.05316156095550807,0.03810462195196044
1894,0.34087525973923877,0.23107092447135427,0.0456461439912684,0.03808917126382508
1895,0.31471050042377985,0.217457002819897,0.05059605638582068,0.03756832929246565
1896,0.35586458919511266,0.24320451278219127,0.054526413794727044,0.03948988185690538
1897,0.3039624586438694,0.23208885248530478,0.06102294818138652,0.05190071359880316
1898,0.31970698699444394,0.2446265038790607,0.05792090312099377,0.03871154394638715
1899,0.33588238680092014,0.2241703140089924,0.05137902584514233,0.047381694996194545
1900,0.29172049362840247,0.2384480307446622,0.053921632271508604,0.04499555318969379
1901,0.25682659782356565,0.21735974247251086,0.054319075758005604,0.04155284136326695
1902,0.33810563533044236,0.2376521247285931,0.04419549003270061,0.036390323214998896
1903,0.24699541702591868,0.2312346835028385,0.05516256733078071,0.04728220056924061
1904,0.3305178562348411,0.2373357136336931,0.05697527456874924,0.043007142738991366
1905,0.35014216354012134,0.21535445171940673,0.04257752390237067,0.039765335185759865
1906,0.293306092083567,0.22324130158395283,0.05435295554605566,0.04286055330087331
1907,0.3968566082402852,0.22270384903329926,0.05083299104815006,0.04155973289132421
1908,0.37994439228221255,0.21330311207705968,0.05223169730850461,0.04035310673453567
1909,0.38755740509500236,0.22816010342652276,0.04533347525058346,0.03903806064885605
1910,0.3694530655869114,0.21884570324543193,0.05364520173473373,0.042546194479271576
1911,0.39202679015072045,0.2328696930381494,0.04748833710594601,0.04071661237785017
1912,0.42023380690797646,0.20596867274202108,0.04851626354431145,0.03936310229942741
1913,0.420122490135988,0.23930192130107805,0.04470993720800591,0.04414398863575267
1914,0.386535327781098,0.21274491678096472,0.048671634154416346,0.04316812781893464
1915,0.37009207092547963,0.23155437630496167,0.056485549156977864,0.05300391917214114
1916,0.33646920161722665,0.21814400627366434,0.061013236113127214,0.047249112705616055
1917,0.4958649786107644,0.21454156401968746,0.04150602378351427,0.0386495091122818
1918,0.4432115804062016,0.2095404660168439,0.046172374945616004,0.04221062670535254
1919,0.43350872544195024,0.20552422051456765,0.04512245902259908,0.04068087468927837
1920,0.42465169816826764,0.20281118467405496,0.03888255316185853,0.036277980222786665
1921,0.4230259032716515,0.20129598480449606,0.03531254257069513,0.03280056963816962
1922,0.4397410321316338,0.19554018778269183,0.034983528677624755,0.03216262105059575
1923,0.3227620387466987,0.24011276910414986,0.06358169485085342,0.05366655595917182
1924,0.3447247928117895,0.22759634058874512,0.06205696081720245,0.04873583310251501
1925,0.3071250371269021,0.2102340266409463,0.06141244864242697,0.04759778739361926
1926,0.25022568131358724,0.21636128528557835,0.06997340620196647,0.061092541537560684
1927,0.2989369329038244,0.22181023100704278,0.06463720442874336,0.06001446835291103
1928,0.28134359383351853,0.20588875785163002,0.05916473645956181,0.04881373572141667
1929,0.31911084722050564,0.2190900785768255,0.055106983997951164,0.052049024192284514
1930,0.4180516439612261,0.20892348375687714,0.04763844314906995,0.03653474587372282
1931,0.3833633309725083,0.20293078017686694,0.04735186905868058,0.0423973853321291
