GDP per capita,year,coll,indi,loose,tight
5116.688,1873,0.0001593304713034,7.772256098245325e-05,8.431127812751666e-06,1.2198464701944952e-05
4964.9873,1874,0.0001586421207743,7.785033572003743e-05,8.346419105855524e-06,1.2165105582490856e-05
5105.1177,1875,0.000154968714079,7.693044063574104e-05,8.2910036817723e-06,1.214150495424552e-05
5049.837,1876,0.0001533386358525,7.575392566343858e-05,8.211985223124151e-06,1.2110823568584854e-05
5098.6895,1877,0.0001492740479989,7.500380539277835e-05,8.166972586154001e-06,1.2032067707882072e-05
5198.9663,1878,0.0001476734255122,7.431852915778287e-05,8.041768009859976e-06,1.1983731825588556e-05
5715.778,1879,0.000144847433879,7.418306134811457e-05,8.0425618706926e-06,1.1955079158200633e-05
6255.7295,1880,0.0001423917623567,7.40063950652419e-05,7.950972830289951e-06,1.1902006113168843e-05
6317.4385,1881,0.0001404963121396,7.383345738633449e-05,7.929559791271048e-06,1.192066920491389e-05
6557.8457,1882,0.0001402555659361,7.433343287540797e-05,7.877886523252604e-06,1.1946291827972088e-05
6559.1313,1883,0.0001392481809716,7.511662673108179e-05,7.871509325515663e-06,1.2046286457742133e-05
6523.1343,1884,0.0001399870309504,7.560425612496147e-05,7.830768602449087e-06,1.2159693498858817e-05
6424.143,1885,0.0001386034770121,7.609389313094945e-05,7.837244139530242e-06,1.2220781048861388e-05
6471.7104,1886,0.0001384725639874,7.650296798443281e-05,7.800185681230975e-06,1.2247496239581324e-05
6616.9834,1887,0.0001377528291186,7.68673433110426e-05,7.793421460079918e-06,1.2320509433497555e-05
6447.284,1888,0.0001366624881191,7.72112330551522e-05,7.734553920665406e-06,1.2246279671757066e-05
6705.6895,1889,0.0001346398072753,7.804629759330542e-05,7.734899833425543e-06,1.2172849726052196e-05
6664.5503,1890,0.0001334359976518,7.841478954061034e-05,7.723040243595517e-06,1.2006174819134686e-05
6811.109,1891,0.0001319110040835,7.908812304638754e-05,7.772111031712929e-06,1.1942123513059804e-05
7324.063,1892,0.0001321553164318,7.926642501031113e-05,7.70372278810117e-06,1.19081230408824e-05
6834.2495,1893,0.0001308975838095,8.013387188197741e-05,7.659895595185848e-06,1.1870204721832677e-05
6510.2783,1894,0.0001316959175678,8.025697313079102e-05,7.640782587158401e-06,1.192378524501286e-05
7159.5063,1895,0.0001306380838091,8.061175244579642e-05,7.644735313114466e-06,1.196886587797914e-05
6885.674,1896,0.0001309025106073,8.12877748574335e-05,7.63816715670216e-06,1.1934442089714788e-05
