year,coll,indi,loose,tight,Year,indi_%,coll_%,tight_%,loose_%,indi_ngram,indi_coha,coll_ngram,coll_coha,loose_ngram,loose_coha,tight_ngram,tight_coha
1873,0.0001593304713034,7.772256098245325e-05,8.431127812751666e-06,1.2198464701944952e-05,1873.0,0.3100337512496983,0.2525288380666656,0.0575884352065374,0.0362903192128216,0.7772256098245325,3.1003375124969828,1.593304713034,2.525288380666656,0.08431127812751665,0.36290319212821603,0.12198464701944951,0.575884352065374
1874,0.0001586421207743,7.785033572003743e-05,8.346419105855524e-06,1.2165105582490856e-05,1874.0,0.298483042846688,0.2192192125796231,0.0571539752413843,0.0422298230990499,0.7785033572003743,2.98483042846688,1.586421207743,2.192192125796231,0.08346419105855524,0.422298230990499,0.12165105582490857,0.571539752413843
1875,0.000154968714079,7.693044063574104e-05,8.2910036817723e-06,1.214150495424552e-05,1875.0,0.3761107187473687,0.2374803030537355,0.0543867698382831,0.0436468863789065,0.7693044063574104,3.7611071874736868,1.54968714079,2.374803030537355,0.082910036817723,0.436468863789065,0.1214150495424552,0.543867698382831
1876,0.0001533386358525,7.575392566343858e-05,8.211985223124151e-06,1.2110823568584854e-05,1876.0,0.2465244738965445,0.2383879796858861,0.0638488781808607,0.0465023245511932,0.7575392566343858,2.465244738965445,1.533386358525,2.383879796858861,0.0821198522312415,0.46502324551193197,0.12110823568584854,0.638488781808607
1877,0.0001492740479989,7.500380539277835e-05,8.166972586154001e-06,1.2032067707882072e-05,1877.0,0.3049368925201782,0.2430105587752446,0.0639383806897147,0.0455318771578272,0.7500380539277834,3.049368925201782,1.4927404799889998,2.430105587752446,0.08166972586154,0.455318771578272,0.12032067707882073,0.639383806897147
1878,0.0001476734255122,7.431852915778287e-05,8.041768009859976e-06,1.1983731825588556e-05,1878.0,0.2431589194767801,0.2595285123617528,0.0837993066230722,0.055830068448748,0.7431852915778288,2.4315891947678008,1.4767342551220002,2.595285123617528,0.08041768009859976,0.55830068448748,0.11983731825588556,0.837993066230722
1879,0.000144847433879,7.418306134811457e-05,8.0425618706926e-06,1.1955079158200633e-05,1879.0,0.2978222168681149,0.2677722898178264,0.0713434793666091,0.0570881687614611,0.7418306134811457,2.9782221686811488,1.44847433879,2.6777228981782644,0.080425618706926,0.570881687614611,0.11955079158200632,0.7134347936660911
1880,0.0001423917623567,7.40063950652419e-05,7.950972830289951e-06,1.1902006113168843e-05,1880.0,0.2977220950489959,0.2422581589145696,0.0613713376161994,0.0480796842822097,0.7400639506524189,2.9772209504899587,1.423917623567,2.422581589145696,0.07950972830289951,0.480796842822097,0.11902006113168843,0.6137133761619941
1881,0.0001404963121396,7.383345738633449e-05,7.929559791271048e-06,1.192066920491389e-05,1881.0,0.3427695881575208,0.2682186443260965,0.0724915254935396,0.0511559515130546,0.7383345738633449,3.427695881575208,1.4049631213959999,2.682186443260965,0.07929559791271047,0.511559515130546,0.1192066920491389,0.724915254935396
1882,0.0001402555659361,7.433343287540797e-05,7.877886523252604e-06,1.1946291827972088e-05,1882.0,0.2861350725857353,0.2304279151266599,0.0575284737683348,0.0504316205632891,0.7433343287540797,2.8613507258573527,1.402555659361,2.304279151266599,0.07877886523252604,0.504316205632891,0.11946291827972089,0.575284737683348
1883,0.0001392481809716,7.511662673108179e-05,7.871509325515663e-06,1.2046286457742133e-05,1883.0,0.3625614225183173,0.2392432225263611,0.0524619872387842,0.0437084651290434,0.7511662673108179,3.625614225183173,1.392481809716,2.3924322252636108,0.07871509325515663,0.43708465129043406,0.12046286457742132,0.524619872387842
1884,0.0001399870309504,7.560425612496147e-05,7.830768602449087e-06,1.2159693498858817e-05,1884.0,0.3027394842672587,0.2314667357290027,0.0575403435085407,0.044121225285587,0.7560425612496147,3.027394842672587,1.3998703095040002,2.314667357290027,0.07830768602449087,0.44121225285586996,0.12159693498858816,0.575403435085407
